use one gpu
train size: 1080, validate size: 120, test size: 120
Epoch: 0 | Train Accuracy: 0.49259260296821594 | Train Loss: 50.799871265888214
Epoch: 0 | Validate Accuracy: 0.5166666507720947 | Validate Loss (NORMALIZED): 97.4604195356369
Epoch: 1 | Train Accuracy: 0.5546296238899231 | Train Loss: 49.13416826725006
Epoch: 1 | Validate Accuracy: 0.4833333194255829 | Validate Loss (NORMALIZED): 97.61348408460617
Epoch: 2 | Train Accuracy: 0.5388888716697693 | Train Loss: 48.89246743917465
Epoch: 2 | Validate Accuracy: 0.5 | Validate Loss (NORMALIZED): 98.34550559520721
Epoch: 3 | Train Accuracy: 0.5537037253379822 | Train Loss: 48.3669068813324
Epoch: 3 | Validate Accuracy: 0.5249999761581421 | Validate Loss (NORMALIZED): 95.2170472741127
Epoch: 4 | Train Accuracy: 0.5472221970558167 | Train Loss: 48.73939138650894
Epoch: 4 | Validate Accuracy: 0.5166666507720947 | Validate Loss (NORMALIZED): 95.75140607357025
Epoch: 5 | Train Accuracy: 0.5870370268821716 | Train Loss: 47.559686958789825
Epoch: 5 | Validate Accuracy: 0.5666666626930237 | Validate Loss (NORMALIZED): 94.8478342294693
Epoch: 6 | Train Accuracy: 0.5703703761100769 | Train Loss: 47.38126802444458
Epoch: 6 | Validate Accuracy: 0.5333333611488342 | Validate Loss (NORMALIZED): 94.45596992969513
Epoch: 7 | Train Accuracy: 0.6018518805503845 | Train Loss: 46.14600372314453
Epoch: 7 | Validate Accuracy: 0.6166666746139526 | Validate Loss (NORMALIZED): 93.4759116768837
Epoch: 8 | Train Accuracy: 0.6277777552604675 | Train Loss: 45.870709121227264
Epoch: 8 | Validate Accuracy: 0.6083333492279053 | Validate Loss (NORMALIZED): 91.30571007728577
Epoch: 9 | Train Accuracy: 0.625 | Train Loss: 45.55144390463829
Epoch: 9 | Validate Accuracy: 0.6499999761581421 | Validate Loss (NORMALIZED): 89.03832936286926
Epoch: 10 | Train Accuracy: 0.6324074268341064 | Train Loss: 45.166360437870026
Epoch: 10 | Validate Accuracy: 0.6083333492279053 | Validate Loss (NORMALIZED): 89.17745447158813
Epoch: 11 | Train Accuracy: 0.6537036895751953 | Train Loss: 45.03439623117447
Epoch: 11 | Validate Accuracy: 0.699999988079071 | Validate Loss (NORMALIZED): 84.80195859074593
Epoch: 12 | Train Accuracy: 0.6990740895271301 | Train Loss: 42.439343214035034
Epoch: 12 | Validate Accuracy: 0.7250000238418579 | Validate Loss (NORMALIZED): 82.98025077581406
Epoch: 13 | Train Accuracy: 0.6814814805984497 | Train Loss: 43.39585402607918
Epoch: 13 | Validate Accuracy: 0.7333333492279053 | Validate Loss (NORMALIZED): 82.43850168585777
Epoch: 14 | Train Accuracy: 0.6990740895271301 | Train Loss: 39.95046681165695
Epoch: 14 | Validate Accuracy: 0.7749999761581421 | Validate Loss (NORMALIZED): 72.77174261212349
Epoch: 15 | Train Accuracy: 0.7416666746139526 | Train Loss: 36.697310626506805
Epoch: 15 | Validate Accuracy: 0.7833333611488342 | Validate Loss (NORMALIZED): 67.22483512759209
Epoch: 16 | Train Accuracy: 0.7537037134170532 | Train Loss: 35.36134868860245
Epoch: 16 | Validate Accuracy: 0.7416666746139526 | Validate Loss (NORMALIZED): 69.36602649092674
Epoch: 17 | Train Accuracy: 0.7583333253860474 | Train Loss: 36.354892164468765
Epoch: 17 | Validate Accuracy: 0.7749999761581421 | Validate Loss (NORMALIZED): 66.00114646553993
Epoch: 18 | Train Accuracy: 0.7574074268341064 | Train Loss: 34.965388000011444
