use one gpu
using features: ['videos']
train size: 1008, validate size: 112, test size: 120
Fold 0
Epoch: 0 | Train Accuracy: 0.4960317313671112 | Train Loss: 47.12732934951782
Epoch: 0 | Validate Accuracy: 0.5535714030265808 | Validate Loss (NORMALIZED): 45.456760346889496
Epoch: 0 | Test Accuracy: 0.5 | Test Loss (NORMALIZED): 90.83756453990937
Epoch: 1 | Train Accuracy: 0.5109127163887024 | Train Loss: 46.05683624744415
Epoch: 1 | Validate Accuracy: 0.5803571343421936 | Validate Loss (NORMALIZED): 45.07685601711273
Epoch: 1 | Test Accuracy: 0.5416666865348816 | Test Loss (NORMALIZED): 90.72412219047547
Epoch: 2 | Train Accuracy: 0.5426587462425232 | Train Loss: 45.218882620334625
Epoch: 2 | Validate Accuracy: 0.5178571343421936 | Validate Loss (NORMALIZED): 44.75173366069794
Epoch: 2 | Test Accuracy: 0.5083333253860474 | Test Loss (NORMALIZED): 91.20194971561432
Epoch: 3 | Train Accuracy: 0.5426587462425232 | Train Loss: 44.859217166900635
Epoch: 3 | Validate Accuracy: 0.5714285969734192 | Validate Loss (NORMALIZED): 43.54919421672821
Epoch: 3 | Test Accuracy: 0.49166667461395264 | Test Loss (NORMALIZED): 91.62461242675782
Epoch: 4 | Train Accuracy: 0.545634925365448 | Train Loss: 44.546648025512695
Epoch: 4 | Validate Accuracy: 0.5982142686843872 | Validate Loss (NORMALIZED): 44.07120680809021
Epoch: 4 | Test Accuracy: 0.574999988079071 | Test Loss (NORMALIZED): 89.63250374794006
Epoch: 5 | Train Accuracy: 0.5982142686843872 | Train Loss: 43.86006277799606
Epoch: 5 | Validate Accuracy: 0.6517857313156128 | Validate Loss (NORMALIZED): 43.508559823036194
Epoch: 5 | Test Accuracy: 0.5833333134651184 | Test Loss (NORMALIZED): 88.32991819381714
Epoch: 6 | Train Accuracy: 0.5942460298538208 | Train Loss: 43.6751309633255
Epoch: 6 | Validate Accuracy: 0.5357142686843872 | Validate Loss (NORMALIZED): 44.61451131105423
Epoch: 6 | Test Accuracy: 0.5916666388511658 | Test Loss (NORMALIZED): 89.6305966615677
Fold 1
Epoch: 0 | Train Accuracy: 0.6101190447807312 | Train Loss: 42.67876332998276
Epoch: 0 | Validate Accuracy: 0.6071428656578064 | Validate Loss (NORMALIZED): 42.21687662601471
Epoch: 0 | Test Accuracy: 0.5666666626930237 | Test Loss (NORMALIZED): 91.16997510194778
Epoch: 1 | Train Accuracy: 0.6220238208770752 | Train Loss: 43.090523302555084
Epoch: 1 | Validate Accuracy: 0.5535714030265808 | Validate Loss (NORMALIZED): 44.534031093120575
Epoch: 1 | Test Accuracy: 0.5583333373069763 | Test Loss (NORMALIZED): 90.90797102451324
Epoch: 2 | Train Accuracy: 0.6140872836112976 | Train Loss: 42.79906624555588
Epoch: 2 | Validate Accuracy: 0.5357142686843872 | Validate Loss (NORMALIZED): 44.10685712099075
Epoch: 2 | Test Accuracy: 0.5583333373069763 | Test Loss (NORMALIZED): 90.53092567920685
Epoch: 3 | Train Accuracy: 0.6240079402923584 | Train Loss: 41.5193008184433
Epoch: 3 | Validate Accuracy: 0.5892857313156128 | Validate Loss (NORMALIZED): 42.48681253194809
