use one gpu
using features: ['si']
train size: 1008, validate size: 112, test size: 120
Fold 0
Epoch: 0 | Train Accuracy: 0.5615079402923584 | Train Loss: 43.780571699142456
Epoch: 0 | Validate Accuracy: 0.6160714030265808 | Validate Loss (NORMALIZED): 43.91800653934479
Epoch: 0 | Test Accuracy: 0.6166666746139526 | Test Loss (NORMALIZED): 87.87492663860321
Epoch: 1 | Train Accuracy: 0.6626983880996704 | Train Loss: 41.57701218128204
Epoch: 1 | Validate Accuracy: 0.6607142686843872 | Validate Loss (NORMALIZED): 41.12635535001755
Epoch: 1 | Test Accuracy: 0.5416666865348816 | Test Loss (NORMALIZED): 87.8538250207901
Epoch: 2 | Train Accuracy: 0.6319444179534912 | Train Loss: 41.44101071357727
Epoch: 2 | Validate Accuracy: 0.6071428656578064 | Validate Loss (NORMALIZED): 40.60934293270111
Epoch: 2 | Test Accuracy: 0.6000000238418579 | Test Loss (NORMALIZED): 85.69811346530915
Epoch: 3 | Train Accuracy: 0.64682537317276 | Train Loss: 41.01603055000305
Epoch: 3 | Validate Accuracy: 0.6696428656578064 | Validate Loss (NORMALIZED): 39.737224817276
Epoch: 3 | Test Accuracy: 0.6083333492279053 | Test Loss (NORMALIZED): 84.59382684230805
Epoch: 4 | Train Accuracy: 0.6498016119003296 | Train Loss: 40.75131267309189
Epoch: 4 | Validate Accuracy: 0.625 | Validate Loss (NORMALIZED): 39.483558654785156
Epoch: 4 | Test Accuracy: 0.6000000238418579 | Test Loss (NORMALIZED): 84.50686215162277
Epoch: 5 | Train Accuracy: 0.6527777910232544 | Train Loss: 40.21573305130005
Epoch: 5 | Validate Accuracy: 0.6339285969734192 | Validate Loss (NORMALIZED): 39.12651854753494
Epoch: 5 | Test Accuracy: 0.625 | Test Loss (NORMALIZED): 83.39374680519104
Epoch: 6 | Train Accuracy: 0.658730149269104 | Train Loss: 39.916651487350464
Epoch: 6 | Validate Accuracy: 0.6428571343421936 | Validate Loss (NORMALIZED): 38.56998538970947
Epoch: 6 | Test Accuracy: 0.6083333492279053 | Test Loss (NORMALIZED): 84.25309224128723
Fold 1
Epoch: 0 | Train Accuracy: 0.6597222089767456 | Train Loss: 39.577376425266266
Epoch: 0 | Validate Accuracy: 0.6517857313156128 | Validate Loss (NORMALIZED): 40.4908681511879
Epoch: 0 | Test Accuracy: 0.6333333253860474 | Test Loss (NORMALIZED): 84.8697860956192
Epoch: 1 | Train Accuracy: 0.648809552192688 | Train Loss: 39.689081370830536
Epoch: 1 | Validate Accuracy: 0.6160714030265808 | Validate Loss (NORMALIZED): 40.85284888744354
