use one gpu
using features: ['d1da27']
train size: 1008, validate size: 112, test size: 120
Fold 0
Epoch: 0 | Train Accuracy: 0.5833333134651184 | Train Loss: 45.08628576993942
Epoch: 0 | Validate Accuracy: 0.5714285969734192 | Validate Loss (NORMALIZED): 44.5633390545845
Epoch: 0 | Test Accuracy: 0.6083333492279053 | Test Loss (NORMALIZED): 88.03596553802491
Epoch: 1 | Train Accuracy: 0.6835317611694336 | Train Loss: 40.057295083999634
Epoch: 1 | Validate Accuracy: 0.6607142686843872 | Validate Loss (NORMALIZED): 51.98821824789047
Epoch: 1 | Test Accuracy: 0.625 | Test Loss (NORMALIZED): 103.3791199028492
Epoch: 2 | Train Accuracy: 0.7341269850730896 | Train Loss: 36.0165850520134
Epoch: 2 | Validate Accuracy: 0.5982142686843872 | Validate Loss (NORMALIZED): 49.21659779548645
Epoch: 2 | Test Accuracy: 0.7833333611488342 | Test Loss (NORMALIZED): 66.67674611806869
Epoch: 3 | Train Accuracy: 0.7599206566810608 | Train Loss: 34.26799222826958
Epoch: 3 | Validate Accuracy: 0.6071428656578064 | Validate Loss (NORMALIZED): 43.83902299404144
Epoch: 3 | Test Accuracy: 0.7749999761581421 | Test Loss (NORMALIZED): 67.82261213064194
Epoch: 4 | Train Accuracy: 0.7827380895614624 | Train Loss: 31.99064412713051
Epoch: 4 | Validate Accuracy: 0.6071428656578064 | Validate Loss (NORMALIZED): 57.30355077981949
Epoch: 4 | Test Accuracy: 0.5249999761581421 | Test Loss (NORMALIZED): 143.97285736799242
Epoch: 5 | Train Accuracy: 0.7767857313156128 | Train Loss: 31.850361108779907
Epoch: 5 | Validate Accuracy: 0.6875 | Validate Loss (NORMALIZED): 40.94474083185196
Epoch: 5 | Test Accuracy: 0.6083333492279053 | Test Loss (NORMALIZED): 89.6823203086853
Epoch: 6 | Train Accuracy: 0.773809552192688 | Train Loss: 31.651375979185104
Epoch: 6 | Validate Accuracy: 0.6160714030265808 | Validate Loss (NORMALIZED): 64.0366587638855
Epoch: 6 | Test Accuracy: 0.5083333253860474 | Test Loss (NORMALIZED): 168.16628601551056
Fold 1
Epoch: 0 | Train Accuracy: 0.783730149269104 | Train Loss: 31.295007348060608
Epoch: 0 | Validate Accuracy: 0.5803571343421936 | Validate Loss (NORMALIZED): 58.85324344038963
Epoch: 0 | Test Accuracy: 0.49166667461395264 | Test Loss (NORMALIZED): 168.78533481359483
Epoch: 1 | Train Accuracy: 0.7847222089767456 | Train Loss: 31.048244297504425
Epoch: 1 | Validate Accuracy: 0.7142857313156128 | Validate Loss (NORMALIZED): 35.73293808102608
Epoch: 1 | Test Accuracy: 0.7416666746139526 | Test Loss (NORMALIZED): 65.86582072377205
Epoch: 2 | Train Accuracy: 0.7430555820465088 | Train Loss: 34.114937618374825
Epoch: 2 | Validate Accuracy: 0.5714285969734192 | Validate Loss (NORMALIZED): 45.88076287508011
Epoch: 2 | Test Accuracy: 0.5583333373069763 | Test Loss (NORMALIZED): 90.9470340013504
Epoch: 3 | Train Accuracy: 0.6974206566810608 | Train Loss: 38.18739154934883
Epoch: 3 | Validate Accuracy: 0.6517857313156128 | Validate Loss (NORMALIZED): 41.09190934896469
Epoch: 3 | Test Accuracy: 0.6333333253860474 | Test Loss (NORMALIZED): 93.0253888964653
Epoch: 4 | Train Accuracy: 0.7420634627342224 | Train Loss: 35.4953136742115
Epoch: 4 | Validate Accuracy: 0.5357142686843872 | Validate Loss (NORMALIZED): 67.69858968257904
Epoch: 4 | Test Accuracy: 0.44999998807907104 | Test Loss (NORMALIZED): 170.7022122144699
Epoch: 5 | Train Accuracy: 0.7519841194152832 | Train Loss: 34.06728634238243
Epoch: 5 | Validate Accuracy: 0.6696428656578064 | Validate Loss (NORMALIZED): 41.16327702999115
Epoch: 5 | Test Accuracy: 0.5833333134651184 | Test Loss (NORMALIZED): 110.39021190404893
Epoch: 6 | Train Accuracy: 0.788690447807312 | Train Loss: 30.228858321905136
Epoch: 6 | Validate Accuracy: 0.5 | Validate Loss (NORMALIZED): 61.33758348226547
Epoch: 6 | Test Accuracy: 0.5833333134651184 | Test Loss (NORMALIZED): 101.76002848148346
Fold 2
Epoch: 0 | Train Accuracy: 0.8134920597076416 | Train Loss: 28.87765806913376
Epoch: 0 | Validate Accuracy: 0.7589285969734192 | Validate Loss (NORMALIZED): 32.414612621068954
Epoch: 0 | Test Accuracy: 0.625 | Test Loss (NORMALIZED): 90.23127629756928
Epoch: 1 | Train Accuracy: 0.8214285969734192 | Train Loss: 27.286802366375923
Epoch: 1 | Validate Accuracy: 0.7589285969734192 | Validate Loss (NORMALIZED): 39.05060237646103
Epoch: 1 | Test Accuracy: 0.5666666626930237 | Test Loss (NORMALIZED): 127.87833713293077
Epoch: 2 | Train Accuracy: 0.824404776096344 | Train Loss: 27.43675448000431
Epoch: 2 | Validate Accuracy: 0.6339285969734192 | Validate Loss (NORMALIZED): 47.668788850307465
Epoch: 2 | Test Accuracy: 0.675000011920929 | Test Loss (NORMALIZED): 88.59469102621078
Epoch: 3 | Train Accuracy: 0.8283730149269104 | Train Loss: 26.256804302334785
Epoch: 3 | Validate Accuracy: 0.6696428656578064 | Validate Loss (NORMALIZED): 37.469321608543396
Epoch: 3 | Test Accuracy: 0.675000011920929 | Test Loss (NORMALIZED): 75.9525941848755
Epoch: 4 | Train Accuracy: 0.8482142686843872 | Train Loss: 25.322719156742096
Epoch: 4 | Validate Accuracy: 0.7589285969734192 | Validate Loss (NORMALIZED): 38.232159823179245
Epoch: 4 | Test Accuracy: 0.6083333492279053 | Test Loss (NORMALIZED): 107.57156202793122
Epoch: 5 | Train Accuracy: 0.841269850730896 | Train Loss: 25.660068213939667
Epoch: 5 | Validate Accuracy: 0.7857142686843872 | Validate Loss (NORMALIZED): 35.29229432344437
Epoch: 5 | Test Accuracy: 0.7333333492279053 | Test Loss (NORMALIZED): 79.95872513651848
Epoch: 6 | Train Accuracy: 0.8402777910232544 | Train Loss: 24.27434252202511
