use one gpu
using features: ['videos', 'aus', 'si', 'd1da27']
train size: 1008, validate size: 112, test size: 120
Fold 0
Epoch: 0 | Train Accuracy: 0.6041666865348816 | Train Loss: 48.60200420022011
Epoch: 0 | Validate Accuracy: 0.7232142686843872 | Validate Loss (NORMALIZED): 45.6049507856369
Epoch: 0 | Test Accuracy: 0.6333333253860474 | Test Loss (NORMALIZED): 95.8627501487732
Epoch: 1 | Train Accuracy: 0.7301587462425232 | Train Loss: 41.016024351119995
Epoch: 1 | Validate Accuracy: 0.5089285969734192 | Validate Loss (NORMALIZED): 122.6804906129837
Epoch: 1 | Test Accuracy: 0.46666666865348816 | Test Loss (NORMALIZED): 325.57905571460725
Epoch: 2 | Train Accuracy: 0.7609127163887024 | Train Loss: 37.39475640654564
Epoch: 2 | Validate Accuracy: 0.4821428656578064 | Validate Loss (NORMALIZED): 78.29760521650314
Epoch: 2 | Test Accuracy: 0.5416666865348816 | Test Loss (NORMALIZED): 142.65192868709565
Epoch: 3 | Train Accuracy: 0.7589285969734192 | Train Loss: 37.81466409564018
Epoch: 3 | Validate Accuracy: 0.4821428656578064 | Validate Loss (NORMALIZED): 82.82575982809067
Epoch: 3 | Test Accuracy: 0.5416666865348816 | Test Loss (NORMALIZED): 149.1768231868744
Epoch: 4 | Train Accuracy: 0.77182537317276 | Train Loss: 36.5327368080616
Epoch: 4 | Validate Accuracy: 0.7142857313156128 | Validate Loss (NORMALIZED): 41.52313023805618
Epoch: 4 | Test Accuracy: 0.625 | Test Loss (NORMALIZED): 96.31447978019715
Epoch: 5 | Train Accuracy: 0.7142857313156128 | Train Loss: 40.32275262475014
Epoch: 5 | Validate Accuracy: 0.7142857313156128 | Validate Loss (NORMALIZED): 41.48718327283859
Epoch: 5 | Test Accuracy: 0.6083333492279053 | Test Loss (NORMALIZED): 95.74278395175934
Epoch: 6 | Train Accuracy: 0.7341269850730896 | Train Loss: 38.22788414359093
Epoch: 6 | Validate Accuracy: 0.7053571343421936 | Validate Loss (NORMALIZED): 42.69724550843239
Epoch: 6 | Test Accuracy: 0.7416666746139526 | Test Loss (NORMALIZED): 83.31134605407715
Fold 1
Epoch: 0 | Train Accuracy: 0.788690447807312 | Train Loss: 34.25677874684334
Epoch: 0 | Validate Accuracy: 0.4732142984867096 | Validate Loss (NORMALIZED): 86.41925418376923
Epoch: 0 | Test Accuracy: 0.5583333373069763 | Test Loss (NORMALIZED): 145.97023218870163
Epoch: 1 | Train Accuracy: 0.807539701461792 | Train Loss: 32.41037407517433
Epoch: 1 | Validate Accuracy: 0.6517857313156128 | Validate Loss (NORMALIZED): 42.00984871387482
Epoch: 1 | Test Accuracy: 0.6416666507720947 | Test Loss (NORMALIZED): 94.33528361320496
Epoch: 2 | Train Accuracy: 0.8035714030265808 | Train Loss: 32.541272178292274
Epoch: 2 | Validate Accuracy: 0.7678571343421936 | Validate Loss (NORMALIZED): 32.56177067756653
Epoch: 2 | Test Accuracy: 0.6916666626930237 | Test Loss (NORMALIZED): 78.85214027166367
Epoch: 3 | Train Accuracy: 0.817460298538208 | Train Loss: 31.212833538651466
Epoch: 3 | Validate Accuracy: 0.5982142686843872 | Validate Loss (NORMALIZED): 55.0768945813179
Epoch: 3 | Test Accuracy: 0.6416666507720947 | Test Loss (NORMALIZED): 98.46277803182602
Epoch: 4 | Train Accuracy: 0.8482142686843872 | Train Loss: 28.305352360010147
Epoch: 4 | Validate Accuracy: 0.7678571343421936 | Validate Loss (NORMALIZED): 41.03132066130638
Epoch: 4 | Test Accuracy: 0.7833333611488342 | Test Loss (NORMALIZED): 80.0904246211052
Epoch: 5 | Train Accuracy: 0.8422619104385376 | Train Loss: 30.000474601984024
Epoch: 5 | Validate Accuracy: 0.5714285969734192 | Validate Loss (NORMALIZED): 115.39882636070251
Epoch: 5 | Test Accuracy: 0.4833333194255829 | Test Loss (NORMALIZED): 341.4312728404999
Epoch: 6 | Train Accuracy: 0.8382936716079712 | Train Loss: 29.712522819638252
Epoch: 6 | Validate Accuracy: 0.75 | Validate Loss (NORMALIZED): 37.54155832529068
Epoch: 6 | Test Accuracy: 0.699999988079071 | Test Loss (NORMALIZED): 92.23586415052414
Fold 2
Epoch: 0 | Train Accuracy: 0.841269850730896 | Train Loss: 29.452757477760315
Epoch: 0 | Validate Accuracy: 0.7410714030265808 | Validate Loss (NORMALIZED): 36.169107377529144
Epoch: 0 | Test Accuracy: 0.7250000238418579 | Test Loss (NORMALIZED): 86.5894032239914
Epoch: 1 | Train Accuracy: 0.8492063283920288 | Train Loss: 26.84104162454605
Epoch: 1 | Validate Accuracy: 0.8035714030265808 | Validate Loss (NORMALIZED): 34.66776368021965
Epoch: 1 | Test Accuracy: 0.7583333253860474 | Test Loss (NORMALIZED): 80.71507276296616
Epoch: 2 | Train Accuracy: 0.8303571343421936 | Train Loss: 28.12122668325901
Epoch: 2 | Validate Accuracy: 0.7589285969734192 | Validate Loss (NORMALIZED): 39.85787245631218
Epoch: 2 | Test Accuracy: 0.675000011920929 | Test Loss (NORMALIZED): 89.85730537176133
Epoch: 3 | Train Accuracy: 0.8621031641960144 | Train Loss: 25.908770725131035
Epoch: 3 | Validate Accuracy: 0.7946428656578064 | Validate Loss (NORMALIZED): 33.448296278715134
Epoch: 3 | Test Accuracy: 0.6000000238418579 | Test Loss (NORMALIZED): 130.85645577907562
Epoch: 4 | Train Accuracy: 0.8690476417541504 | Train Loss: 24.802344173192978
Epoch: 4 | Validate Accuracy: 0.7053571343421936 | Validate Loss (NORMALIZED): 47.92820057272911
Epoch: 4 | Test Accuracy: 0.6833333373069763 | Test Loss (NORMALIZED): 97.07107636928559
Epoch: 5 | Train Accuracy: 0.8839285969734192 | Train Loss: 23.94588515162468
Epoch: 5 | Validate Accuracy: 0.8214285969734192 | Validate Loss (NORMALIZED): 35.175363421440125
Epoch: 5 | Test Accuracy: 0.7250000238418579 | Test Loss (NORMALIZED): 89.32327537536621
Epoch: 6 | Train Accuracy: 0.89682537317276 | Train Loss: 22.109417840838432
Epoch: 6 | Validate Accuracy: 0.8214285969734192 | Validate Loss (NORMALIZED): 34.02296921610832
Epoch: 6 | Test Accuracy: 0.699999988079071 | Test Loss (NORMALIZED): 108.99500423669815
Fold 3
Epoch: 0 | Train Accuracy: 0.875 | Train Loss: 24.79629161953926
Epoch: 0 | Validate Accuracy: 0.9285714030265808 | Validate Loss (NORMALIZED): 21.198569521307945
Epoch: 0 | Test Accuracy: 0.7333333492279053 | Test Loss (NORMALIZED): 87.62522086501122
Epoch: 1 | Train Accuracy: 0.8938491940498352 | Train Loss: 22.20506800711155
Epoch: 1 | Validate Accuracy: 0.9107142686843872 | Validate Loss (NORMALIZED): 16.985651314258575
Epoch: 1 | Test Accuracy: 0.7583333253860474 | Test Loss (NORMALIZED): 89.90974561572075
Epoch: 2 | Train Accuracy: 0.8888888955116272 | Train Loss: 22.59172487258911
Epoch: 2 | Validate Accuracy: 0.9285714030265808 | Validate Loss (NORMALIZED): 20.07529203593731
Epoch: 2 | Test Accuracy: 0.7416666746139526 | Test Loss (NORMALIZED): 86.99672187566757
Epoch: 3 | Train Accuracy: 0.9017857313156128 | Train Loss: 21.01231451332569
Epoch: 3 | Validate Accuracy: 0.8392857313156128 | Validate Loss (NORMALIZED): 26.18066480755806
Epoch: 3 | Test Accuracy: 0.7583333253860474 | Test Loss (NORMALIZED): 79.18181211948395
Epoch: 4 | Train Accuracy: 0.8958333134651184 | Train Loss: 21.413733452558517
Epoch: 4 | Validate Accuracy: 0.8928571343421936 | Validate Loss (NORMALIZED): 21.751289382576942
Epoch: 4 | Test Accuracy: 0.7250000238418579 | Test Loss (NORMALIZED): 92.8314005613327
Epoch: 5 | Train Accuracy: 0.903769850730896 | Train Loss: 21.069940596818924
Epoch: 5 | Validate Accuracy: 0.9196428656578064 | Validate Loss (NORMALIZED): 18.63928185403347
Epoch: 5 | Test Accuracy: 0.7749999761581421 | Test Loss (NORMALIZED): 94.57741273641587
Epoch: 6 | Train Accuracy: 0.9017857313156128 | Train Loss: 19.664816454052925
Epoch: 6 | Validate Accuracy: 0.8214285969734192 | Validate Loss (NORMALIZED): 29.6460392922163
Epoch: 6 | Test Accuracy: 0.6166666746139526 | Test Loss (NORMALIZED): 156.17390230894088
Fold 4
Epoch: 0 | Train Accuracy: 0.9107142686843872 | Train Loss: 19.543002277612686
Epoch: 0 | Validate Accuracy: 0.7232142686843872 | Validate Loss (NORMALIZED): 52.11320033669472
Epoch: 0 | Test Accuracy: 0.550000011920929 | Test Loss (NORMALIZED): 215.35171794891357
Epoch: 1 | Train Accuracy: 0.9077380895614624 | Train Loss: 19.783956199884415
Epoch: 1 | Validate Accuracy: 0.9017857313156128 | Validate Loss (NORMALIZED): 20.411801978945732
Epoch: 1 | Test Accuracy: 0.7166666388511658 | Test Loss (NORMALIZED): 109.09036619067193
Epoch: 2 | Train Accuracy: 0.925595223903656 | Train Loss: 17.77727474272251
Epoch: 2 | Validate Accuracy: 0.9017857313156128 | Validate Loss (NORMALIZED): 23.813098087906837
Epoch: 2 | Test Accuracy: 0.699999988079071 | Test Loss (NORMALIZED): 129.9917958855629
Epoch: 3 | Train Accuracy: 0.9464285969734192 | Train Loss: 16.04831574857235
Epoch: 3 | Validate Accuracy: 0.8660714030265808 | Validate Loss (NORMALIZED): 24.90902790427208
Epoch: 3 | Test Accuracy: 0.7833333611488342 | Test Loss (NORMALIZED): 87.60443993210792
