use one gpu
using features: ['aus']
using fold: 7
train size: 991, validate size: 124, test size: 125
Epoch: 0 | Train Accuracy: 0.6014127135276794 | Train Loss: 21.641275227069855
Epoch: 0 | Validate Accuracy: 0.6048387289047241 | Validate Loss (NORMALIZED): 45.64474663186458
Epoch: 0 | Test Accuracy: 0.5920000076293945 | Test Loss (NORMALIZED): 45.65898325395584
Epoch: 1 | Train Accuracy: 0.671039342880249 | Train Loss: 19.970436990261078
Epoch: 1 | Validate Accuracy: 0.6290322542190552 | Validate Loss (NORMALIZED): 43.117599311855535
Epoch: 1 | Test Accuracy: 0.656000018119812 | Test Loss (NORMALIZED): 43.277425609588626
Epoch: 2 | Train Accuracy: 0.6962664127349854 | Train Loss: 18.919978201389313
Epoch: 2 | Validate Accuracy: 0.7419354915618896 | Validate Loss (NORMALIZED): 38.565058569273646
Epoch: 2 | Test Accuracy: 0.6800000071525574 | Test Loss (NORMALIZED): 40.920723865032194
Epoch: 3 | Train Accuracy: 0.7305752038955688 | Train Loss: 17.485102593898773
Epoch: 3 | Validate Accuracy: 0.6774193644523621 | Validate Loss (NORMALIZED): 46.10532856275959
Epoch: 3 | Test Accuracy: 0.6639999747276306 | Test Loss (NORMALIZED): 52.688436332702636
Epoch: 4 | Train Accuracy: 0.7598385214805603 | Train Loss: 16.095376074314117
Epoch: 4 | Validate Accuracy: 0.8225806355476379 | Validate Loss (NORMALIZED): 31.60067735516256
Epoch: 4 | Test Accuracy: 0.7279999852180481 | Test Loss (NORMALIZED): 36.71092075300216
Epoch: 5 | Train Accuracy: 0.786074697971344 | Train Loss: 15.250171065330505
Epoch: 5 | Validate Accuracy: 0.7903226017951965 | Validate Loss (NORMALIZED): 29.842713554299646
Epoch: 5 | Test Accuracy: 0.7919999957084656 | Test Loss (NORMALIZED): 36.28848363089561
Epoch: 6 | Train Accuracy: 0.8022199869155884 | Train Loss: 14.35487824678421
Epoch: 6 | Validate Accuracy: 0.7580645084381104 | Validate Loss (NORMALIZED): 36.335019546651075
Epoch: 6 | Test Accuracy: 0.6800000071525574 | Test Loss (NORMALIZED): 42.69898392915726
Epoch: 7 | Train Accuracy: 0.8062562942504883 | Train Loss: 13.945895493030548
Epoch: 7 | Validate Accuracy: 0.8064516186714172 | Validate Loss (NORMALIZED): 28.979210262096696
Epoch: 7 | Test Accuracy: 0.7680000066757202 | Test Loss (NORMALIZED): 32.902468595981595
Epoch: 8 | Train Accuracy: 0.8123108148574829 | Train Loss: 14.068569511175156
Epoch: 8 | Validate Accuracy: 0.7903226017951965 | Validate Loss (NORMALIZED): 30.03080255141662
Epoch: 8 | Test Accuracy: 0.7120000123977661 | Test Loss (NORMALIZED): 36.62662664699555
Epoch: 9 | Train Accuracy: 0.8203834295272827 | Train Loss: 13.548341453075409
Epoch: 9 | Validate Accuracy: 0.8145161271095276 | Validate Loss (NORMALIZED): 29.642873438375613
Epoch: 9 | Test Accuracy: 0.7839999794960022 | Test Loss (NORMALIZED): 33.369265229701995
Epoch: 10 | Train Accuracy: 0.8274469971656799 | Train Loss: 13.222850888967514
Epoch: 10 | Validate Accuracy: 0.7661290168762207 | Validate Loss (NORMALIZED): 43.5778419578508
Epoch: 10 | Test Accuracy: 0.7519999742507935 | Test Loss (NORMALIZED): 40.67839018297195
Epoch: 11 | Train Accuracy: 0.810292661190033 | Train Loss: 13.91731010377407
Epoch: 11 | Validate Accuracy: 0.8145161271095276 | Validate Loss (NORMALIZED): 26.704099461556442
Epoch: 11 | Test Accuracy: 0.7680000066757202 | Test Loss (NORMALIZED): 33.57810487794876
Epoch: 12 | Train Accuracy: 0.845610499382019 | Train Loss: 12.514901667833328
Epoch: 12 | Validate Accuracy: 0.7177419066429138 | Validate Loss (NORMALIZED): 35.02186956280662
Epoch: 12 | Test Accuracy: 0.7279999852180481 | Test Loss (NORMALIZED): 38.154320811748505
Epoch: 13 | Train Accuracy: 0.8314833641052246 | Train Loss: 12.745061486959457
Epoch: 13 | Validate Accuracy: 0.774193525314331 | Validate Loss (NORMALIZED): 30.370669439675346
Epoch: 13 | Test Accuracy: 0.7200000286102295 | Test Loss (NORMALIZED): 38.39096953368187
Epoch: 14 | Train Accuracy: 0.8345106244087219 | Train Loss: 12.726425543427467
Epoch: 14 | Validate Accuracy: 0.7338709831237793 | Validate Loss (NORMALIZED): 37.21130991390636
Epoch: 14 | Test Accuracy: 0.7360000014305115 | Test Loss (NORMALIZED): 43.44591411447525
Epoch: 15 | Train Accuracy: 0.8405650854110718 | Train Loss: 12.436593562364578
Epoch: 15 | Validate Accuracy: 0.8064516186714172 | Validate Loss (NORMALIZED): 26.618045306974842
Epoch: 15 | Test Accuracy: 0.7519999742507935 | Test Loss (NORMALIZED): 33.54940718221665
Epoch: 16 | Train Accuracy: 0.849646806716919 | Train Loss: 11.954598397016525
Epoch: 16 | Validate Accuracy: 0.7096773982048035 | Validate Loss (NORMALIZED): 42.77567896991968
Epoch: 16 | Test Accuracy: 0.656000018119812 | Test Loss (NORMALIZED): 49.639808949708936
Epoch: 17 | Train Accuracy: 0.8516649603843689 | Train Loss: 12.034861356019974
Epoch: 17 | Validate Accuracy: 0.7903226017951965 | Validate Loss (NORMALIZED): 34.73275023987217
Epoch: 17 | Test Accuracy: 0.7200000286102295 | Test Loss (NORMALIZED): 44.87459963411093
Epoch: 18 | Train Accuracy: 0.845610499382019 | Train Loss: 12.374231338500977
Epoch: 18 | Validate Accuracy: 0.7822580933570862 | Validate Loss (NORMALIZED): 29.321340915416517
Epoch: 18 | Test Accuracy: 0.6800000071525574 | Test Loss (NORMALIZED): 38.23499805355072
Epoch: 19 | Train Accuracy: 0.8415741920471191 | Train Loss: 12.217257171869278
Epoch: 19 | Validate Accuracy: 0.6612903475761414 | Validate Loss (NORMALIZED): 61.37630538882748
Epoch: 19 | Test Accuracy: 0.671999990940094 | Test Loss (NORMALIZED): 72.86520024538041
Epoch: 20 | Train Accuracy: 0.8345106244087219 | Train Loss: 13.01560166478157
Epoch: 20 | Validate Accuracy: 0.7983871102333069 | Validate Loss (NORMALIZED): 32.86807306134893
Epoch: 20 | Test Accuracy: 0.7440000176429749 | Test Loss (NORMALIZED): 47.52973561811447
Epoch: 21 | Train Accuracy: 0.8395559787750244 | Train Loss: 11.975585132837296
Epoch: 21 | Validate Accuracy: 0.7661290168762207 | Validate Loss (NORMALIZED): 33.895388200158074
Epoch: 21 | Test Accuracy: 0.7760000228881836 | Test Loss (NORMALIZED): 44.0004771194458
Epoch: 22 | Train Accuracy: 0.8627648949623108 | Train Loss: 11.272024139761925
Epoch: 22 | Validate Accuracy: 0.7983871102333069 | Validate Loss (NORMALIZED): 28.391191898694924
Epoch: 22 | Test Accuracy: 0.7599999904632568 | Test Loss (NORMALIZED): 36.87129576766491
Epoch: 23 | Train Accuracy: 0.8668012022972107 | Train Loss: 10.657291144132614
Epoch: 23 | Validate Accuracy: 0.8064516186714172 | Validate Loss (NORMALIZED): 30.218783296524517
Epoch: 23 | Test Accuracy: 0.7120000123977661 | Test Loss (NORMALIZED): 38.7633184735775
Epoch: 24 | Train Accuracy: 0.8668012022972107 | Train Loss: 10.80996686220169
Epoch: 24 | Validate Accuracy: 0.8225806355476379 | Validate Loss (NORMALIZED): 27.895157494371936
Epoch: 24 | Test Accuracy: 0.7599999904632568 | Test Loss (NORMALIZED): 35.775749891996384
Epoch: 25 | Train Accuracy: 0.8758829236030579 | Train Loss: 10.6582690179348
Epoch: 25 | Validate Accuracy: 0.8225806355476379 | Validate Loss (NORMALIZED): 28.70151968372445
Epoch: 25 | Test Accuracy: 0.7279999852180481 | Test Loss (NORMALIZED): 37.15654970550537
Epoch: 26 | Train Accuracy: 0.8738647699356079 | Train Loss: 10.674887105822563
Epoch: 26 | Validate Accuracy: 0.8225806355476379 | Validate Loss (NORMALIZED): 27.462683215497
Epoch: 26 | Test Accuracy: 0.7599999904632568 | Test Loss (NORMALIZED): 41.42655253100395
Epoch: 27 | Train Accuracy: 0.8819374442100525 | Train Loss: 10.126952394843102
Epoch: 27 | Validate Accuracy: 0.8145161271095276 | Validate Loss (NORMALIZED): 27.31674545474591
Epoch: 27 | Test Accuracy: 0.7440000176429749 | Test Loss (NORMALIZED): 39.23792274236679
Epoch: 28 | Train Accuracy: 0.8748738765716553 | Train Loss: 10.1057438403368
Epoch: 28 | Validate Accuracy: 0.8467742204666138 | Validate Loss (NORMALIZED): 29.01986204736656
Epoch: 28 | Test Accuracy: 0.7440000176429749 | Test Loss (NORMALIZED): 37.91194058394432
Epoch: 29 | Train Accuracy: 0.8849647045135498 | Train Loss: 10.235395401716232
