use one gpu
using features: ['videos']
using fold: 6
train size: 990, validate size: 125, test size: 125
Epoch: 0 | Train Accuracy: 0.4979797899723053 | Train Loss: 23.553622841835022
Epoch: 0 | Validate Accuracy: 0.4880000054836273 | Validate Loss (NORMALIZED): 45.727712960243224
Epoch: 0 | Test Accuracy: 0.4560000002384186 | Test Loss (NORMALIZED): 45.73307046890259
Epoch: 1 | Train Accuracy: 0.5010101199150085 | Train Loss: 22.97495949268341
Epoch: 1 | Validate Accuracy: 0.5120000243186951 | Validate Loss (NORMALIZED): 45.84339247226715
Epoch: 1 | Test Accuracy: 0.47999998927116394 | Test Loss (NORMALIZED): 45.837968401908874
Epoch: 2 | Train Accuracy: 0.5363636612892151 | Train Loss: 22.29057937860489
Epoch: 2 | Validate Accuracy: 0.47200000286102295 | Validate Loss (NORMALIZED): 46.95998291015625
Epoch: 2 | Test Accuracy: 0.527999997138977 | Test Loss (NORMALIZED): 45.576488556861875
Epoch: 3 | Train Accuracy: 0.539393961429596 | Train Loss: 22.00684255361557
Epoch: 3 | Validate Accuracy: 0.4959999918937683 | Validate Loss (NORMALIZED): 47.10066507339477
Epoch: 3 | Test Accuracy: 0.5839999914169312 | Test Loss (NORMALIZED): 44.82120587825775
Epoch: 4 | Train Accuracy: 0.5595959424972534 | Train Loss: 21.892992913722992
Epoch: 4 | Validate Accuracy: 0.5360000133514404 | Validate Loss (NORMALIZED): 46.08117635250092
Epoch: 4 | Test Accuracy: 0.5839999914169312 | Test Loss (NORMALIZED): 44.64653004169464
Epoch: 5 | Train Accuracy: 0.6000000238418579 | Train Loss: 21.30667668581009
Epoch: 5 | Validate Accuracy: 0.5519999861717224 | Validate Loss (NORMALIZED): 46.00743684768677
Epoch: 5 | Test Accuracy: 0.6079999804496765 | Test Loss (NORMALIZED): 43.706948404312136
Epoch: 6 | Train Accuracy: 0.6090909242630005 | Train Loss: 21.20684254169464
Epoch: 6 | Validate Accuracy: 0.5920000076293945 | Validate Loss (NORMALIZED): 45.354924488067624
Epoch: 6 | Test Accuracy: 0.6079999804496765 | Test Loss (NORMALIZED): 42.98908095359802
Epoch: 7 | Train Accuracy: 0.6545454263687134 | Train Loss: 20.50329601764679
Epoch: 7 | Validate Accuracy: 0.5440000295639038 | Validate Loss (NORMALIZED): 45.63391902923584
Epoch: 7 | Test Accuracy: 0.5600000023841858 | Test Loss (NORMALIZED): 44.35628374099731
Epoch: 8 | Train Accuracy: 0.6363636255264282 | Train Loss: 20.66645836830139
Epoch: 8 | Validate Accuracy: 0.5440000295639038 | Validate Loss (NORMALIZED): 45.25909641265869
Epoch: 8 | Test Accuracy: 0.5920000076293945 | Test Loss (NORMALIZED): 43.101974787712095
Epoch: 9 | Train Accuracy: 0.6464646458625793 | Train Loss: 20.268902599811554
Epoch: 9 | Validate Accuracy: 0.6159999966621399 | Validate Loss (NORMALIZED): 44.342425689697265
Epoch: 9 | Test Accuracy: 0.6079999804496765 | Test Loss (NORMALIZED): 41.786997442245486
Epoch: 10 | Train Accuracy: 0.6545454263687134 | Train Loss: 20.082108736038208
