use one gpu
using features: ['si']
using fold: 9
train size: 1001, validate size: 114, test size: 125
Epoch: 0 | Train Accuracy: 0.5514485239982605 | Train Loss: 22.1552175283432
Epoch: 0 | Validate Accuracy: 0.4736842215061188 | Validate Loss (NORMALIZED): 49.66319499622312
Epoch: 0 | Test Accuracy: 0.5040000081062317 | Test Loss (NORMALIZED): 45.11078436946868
Epoch: 1 | Train Accuracy: 0.6353646516799927 | Train Loss: 21.497637450695038
Epoch: 1 | Validate Accuracy: 0.5438596606254578 | Validate Loss (NORMALIZED): 48.97861158534101
Epoch: 1 | Test Accuracy: 0.5440000295639038 | Test Loss (NORMALIZED): 44.38739782619476
Epoch: 2 | Train Accuracy: 0.6433566212654114 | Train Loss: 20.91659641265869
Epoch: 2 | Validate Accuracy: 0.6929824352264404 | Validate Loss (NORMALIZED): 44.973060574447906
Epoch: 2 | Test Accuracy: 0.6079999804496765 | Test Loss (NORMALIZED): 42.880779110908506
Epoch: 3 | Train Accuracy: 0.6653346419334412 | Train Loss: 20.47176569700241
Epoch: 3 | Validate Accuracy: 0.6842105388641357 | Validate Loss (NORMALIZED): 44.106856048107154
Epoch: 3 | Test Accuracy: 0.6000000238418579 | Test Loss (NORMALIZED): 41.95267450428008
Epoch: 4 | Train Accuracy: 0.6443556547164917 | Train Loss: 20.443992853164673
Epoch: 4 | Validate Accuracy: 0.6666666865348816 | Validate Loss (NORMALIZED): 43.337532655188916
Epoch: 4 | Test Accuracy: 0.656000018119812 | Test Loss (NORMALIZED): 41.63246148943901
Epoch: 5 | Train Accuracy: 0.6643356680870056 | Train Loss: 20.186530828475952
Epoch: 5 | Validate Accuracy: 0.6842105388641357 | Validate Loss (NORMALIZED): 46.05941519036628
Epoch: 5 | Test Accuracy: 0.6480000019073486 | Test Loss (NORMALIZED): 42.21980566835403
Epoch: 6 | Train Accuracy: 0.667332649230957 | Train Loss: 20.008876979351044
Epoch: 6 | Validate Accuracy: 0.6929824352264404 | Validate Loss (NORMALIZED): 45.567606445990116
Epoch: 6 | Test Accuracy: 0.671999990940094 | Test Loss (NORMALIZED): 41.86707683086395
Epoch: 7 | Train Accuracy: 0.6713286638259888 | Train Loss: 20.152421832084656
Epoch: 7 | Validate Accuracy: 0.6842105388641357 | Validate Loss (NORMALIZED): 44.297661794382236
Epoch: 7 | Test Accuracy: 0.6639999747276306 | Test Loss (NORMALIZED): 41.51737416410446
Epoch: 8 | Train Accuracy: 0.6663336753845215 | Train Loss: 20.225394368171692
Epoch: 8 | Validate Accuracy: 0.6842105388641357 | Validate Loss (NORMALIZED): 42.86819482790797
Epoch: 8 | Test Accuracy: 0.6399999856948853 | Test Loss (NORMALIZED): 42.027790839672086
Epoch: 9 | Train Accuracy: 0.6533466577529907 | Train Loss: 19.992496997117996
Epoch: 9 | Validate Accuracy: 0.6578947305679321 | Validate Loss (NORMALIZED): 42.03934090676015
Epoch: 9 | Test Accuracy: 0.6880000233650208 | Test Loss (NORMALIZED): 41.062162193298335
Epoch: 10 | Train Accuracy: 0.6633366346359253 | Train Loss: 19.880884915590286
Epoch: 10 | Validate Accuracy: 0.6842105388641357 | Validate Loss (NORMALIZED): 45.28987198179229
Epoch: 10 | Test Accuracy: 0.6320000290870667 | Test Loss (NORMALIZED): 42.0659850282669
Epoch: 11 | Train Accuracy: 0.6723276972770691 | Train Loss: 20.011443436145782
Epoch: 11 | Validate Accuracy: 0.6578947305679321 | Validate Loss (NORMALIZED): 45.628445662427374
Epoch: 11 | Test Accuracy: 0.671999990940094 | Test Loss (NORMALIZED): 41.02955830621719
Epoch: 12 | Train Accuracy: 0.6653346419334412 | Train Loss: 20.024215519428253
Epoch: 12 | Validate Accuracy: 0.7017543911933899 | Validate Loss (NORMALIZED): 42.92506532501756
Epoch: 12 | Test Accuracy: 0.6639999747276306 | Test Loss (NORMALIZED): 40.902025257110594
Epoch: 13 | Train Accuracy: 0.6613386869430542 | Train Loss: 20.20405289530754
Epoch: 13 | Validate Accuracy: 0.7017543911933899 | Validate Loss (NORMALIZED): 42.134095323713204
Epoch: 13 | Test Accuracy: 0.6399999856948853 | Test Loss (NORMALIZED): 41.9897369813919
Epoch: 14 | Train Accuracy: 0.6573426723480225 | Train Loss: 20.190319180488586
Epoch: 14 | Validate Accuracy: 0.6842105388641357 | Validate Loss (NORMALIZED): 42.09913024175586
Epoch: 14 | Test Accuracy: 0.6639999747276306 | Test Loss (NORMALIZED): 41.840232691764825
Epoch: 15 | Train Accuracy: 0.6683316826820374 | Train Loss: 19.87367483973503
Epoch: 15 | Validate Accuracy: 0.6578947305679321 | Validate Loss (NORMALIZED): 42.40224948891423
Epoch: 15 | Test Accuracy: 0.656000018119812 | Test Loss (NORMALIZED): 40.90341901397704
Epoch: 16 | Train Accuracy: 0.6563436388969421 | Train Loss: 19.849714279174805
Epoch: 16 | Validate Accuracy: 0.6666666865348816 | Validate Loss (NORMALIZED): 42.42994495311328
Epoch: 16 | Test Accuracy: 0.6639999747276306 | Test Loss (NORMALIZED): 41.19867065477371
Epoch: 17 | Train Accuracy: 0.6543456315994263 | Train Loss: 19.899772703647614
Epoch: 17 | Validate Accuracy: 0.6578947305679321 | Validate Loss (NORMALIZED): 45.575178310275085
Epoch: 17 | Test Accuracy: 0.6639999747276306 | Test Loss (NORMALIZED): 41.08161655712127
Epoch: 18 | Train Accuracy: 0.6703296899795532 | Train Loss: 19.922403752803802
Epoch: 18 | Validate Accuracy: 0.6842105388641357 | Validate Loss (NORMALIZED): 40.0545669950937
Epoch: 18 | Test Accuracy: 0.671999990940094 | Test Loss (NORMALIZED): 41.52011585569381
Epoch: 19 | Train Accuracy: 0.6693306565284729 | Train Loss: 20.011890530586243
Epoch: 19 | Validate Accuracy: 0.6491228342056274 | Validate Loss (NORMALIZED): 41.57165693060348
Epoch: 19 | Test Accuracy: 0.671999990940094 | Test Loss (NORMALIZED): 40.63705155229568
Epoch: 20 | Train Accuracy: 0.6773226857185364 | Train Loss: 19.867785811424255
Epoch: 20 | Validate Accuracy: 0.6842105388641357 | Validate Loss (NORMALIZED): 41.330168236243104
Epoch: 20 | Test Accuracy: 0.671999990940094 | Test Loss (NORMALIZED): 40.98333903741836
Epoch: 21 | Train Accuracy: 0.6723276972770691 | Train Loss: 19.816524028778076
Epoch: 21 | Validate Accuracy: 0.6842105388641357 | Validate Loss (NORMALIZED): 39.21066348666424
Epoch: 21 | Test Accuracy: 0.6399999856948853 | Test Loss (NORMALIZED): 42.369281319141386
Epoch: 22 | Train Accuracy: 0.6683316826820374 | Train Loss: 19.95722734928131
