use one gpu
using features: ['videos', 'aus', 'si', 'd1da27']
using fold: 4
train size: 988, validate size: 127, test size: 125
Epoch: 0 | Train Accuracy: 0.6042510271072388 | Train Loss: 23.91894769668579
Epoch: 0 | Validate Accuracy: 0.6929134130477905 | Validate Loss (NORMALIZED): 48.416176431761016
Epoch: 0 | Test Accuracy: 0.6880000233650208 | Test Loss (NORMALIZED): 49.07174300765991
Epoch: 1 | Train Accuracy: 0.6720647811889648 | Train Loss: 21.851995944976807
Epoch: 1 | Validate Accuracy: 0.5590550899505615 | Validate Loss (NORMALIZED): 49.12541797592884
Epoch: 1 | Test Accuracy: 0.5920000076293945 | Test Loss (NORMALIZED): 48.17915418243408
Epoch: 2 | Train Accuracy: 0.7368420958518982 | Train Loss: 19.908825039863586
Epoch: 2 | Validate Accuracy: 0.5196850299835205 | Validate Loss (NORMALIZED): 119.28305883107224
Epoch: 2 | Test Accuracy: 0.5199999809265137 | Test Loss (NORMALIZED): 130.29137309265136
Epoch: 3 | Train Accuracy: 0.7945343852043152 | Train Loss: 17.27435413002968
Epoch: 3 | Validate Accuracy: 0.5669291615486145 | Validate Loss (NORMALIZED): 59.91418149058275
Epoch: 3 | Test Accuracy: 0.5519999861717224 | Test Loss (NORMALIZED): 61.09901313781738
Epoch: 4 | Train Accuracy: 0.8006072640419006 | Train Loss: 16.82442545890808
Epoch: 4 | Validate Accuracy: 0.8188976645469666 | Validate Loss (NORMALIZED): 32.50546309516186
Epoch: 4 | Test Accuracy: 0.7760000228881836 | Test Loss (NORMALIZED): 34.860824180603025
Epoch: 5 | Train Accuracy: 0.8046558499336243 | Train Loss: 16.351517647504807
Epoch: 5 | Validate Accuracy: 0.6062992215156555 | Validate Loss (NORMALIZED): 51.25786071499502
Epoch: 5 | Test Accuracy: 0.6079999804496765 | Test Loss (NORMALIZED): 52.112824506759644
Epoch: 6 | Train Accuracy: 0.8157894611358643 | Train Loss: 14.959307223558426
Epoch: 6 | Validate Accuracy: 0.6535432934761047 | Validate Loss (NORMALIZED): 48.64303157367106
Epoch: 6 | Test Accuracy: 0.6880000233650208 | Test Loss (NORMALIZED): 46.14667407608032
Epoch: 7 | Train Accuracy: 0.8350202441215515 | Train Loss: 14.798600018024445
Epoch: 7 | Validate Accuracy: 0.7165354490280151 | Validate Loss (NORMALIZED): 54.202221777964766
Epoch: 7 | Test Accuracy: 0.6880000233650208 | Test Loss (NORMALIZED): 65.74076759147644
Epoch: 8 | Train Accuracy: 0.8340080976486206 | Train Loss: 14.183736085891724
Epoch: 8 | Validate Accuracy: 0.7165354490280151 | Validate Loss (NORMALIZED): 40.32227157889389
Epoch: 8 | Test Accuracy: 0.7120000123977661 | Test Loss (NORMALIZED): 40.23548628997803
Epoch: 9 | Train Accuracy: 0.8380566835403442 | Train Loss: 14.299074739217758
Epoch: 9 | Validate Accuracy: 0.8110235929489136 | Validate Loss (NORMALIZED): 30.50229972178542
Epoch: 9 | Test Accuracy: 0.7440000176429749 | Test Loss (NORMALIZED): 36.38023496055603
Epoch: 10 | Train Accuracy: 0.8653846383094788 | Train Loss: 12.450915038585663
Epoch: 10 | Validate Accuracy: 0.7401574850082397 | Validate Loss (NORMALIZED): 38.690298689631966
Epoch: 10 | Test Accuracy: 0.7279999852180481 | Test Loss (NORMALIZED): 37.5425317697525
Epoch: 11 | Train Accuracy: 0.8593117594718933 | Train Loss: 12.777128383517265
Epoch: 11 | Validate Accuracy: 0.8267716765403748 | Validate Loss (NORMALIZED): 30.52610564138007
Epoch: 11 | Test Accuracy: 0.7680000066757202 | Test Loss (NORMALIZED): 39.713056848526
Epoch: 12 | Train Accuracy: 0.8704453706741333 | Train Loss: 12.582694068551064
Epoch: 12 | Validate Accuracy: 0.5748031735420227 | Validate Loss (NORMALIZED): 65.35434638609098
Epoch: 12 | Test Accuracy: 0.5600000023841858 | Test Loss (NORMALIZED): 68.21939936256409
Epoch: 13 | Train Accuracy: 0.8643724918365479 | Train Loss: 12.73122550547123
Epoch: 13 | Validate Accuracy: 0.7716535329818726 | Validate Loss (NORMALIZED): 36.091515283884966
Epoch: 13 | Test Accuracy: 0.7039999961853027 | Test Loss (NORMALIZED): 40.5825304107666
Epoch: 14 | Train Accuracy: 0.8856275081634521 | Train Loss: 11.495730489492416
Epoch: 14 | Validate Accuracy: 0.6929134130477905 | Validate Loss (NORMALIZED): 48.0432382775104
Epoch: 14 | Test Accuracy: 0.6800000071525574 | Test Loss (NORMALIZED): 50.46551516056061
Epoch: 15 | Train Accuracy: 0.8744939565658569 | Train Loss: 12.179155588150024
Epoch: 15 | Validate Accuracy: 0.6692913174629211 | Validate Loss (NORMALIZED): 59.61202165836425
Epoch: 15 | Test Accuracy: 0.6159999966621399 | Test Loss (NORMALIZED): 67.21096333122253
Epoch: 16 | Train Accuracy: 0.8846153616905212 | Train Loss: 12.00154060125351
Epoch: 16 | Validate Accuracy: 0.5354330539703369 | Validate Loss (NORMALIZED): 159.44542647534468
Epoch: 16 | Test Accuracy: 0.5440000295639038 | Test Loss (NORMALIZED): 170.66299940109252
Epoch: 17 | Train Accuracy: 0.8927125334739685 | Train Loss: 11.778597831726074
Epoch: 17 | Validate Accuracy: 0.7007874250411987 | Validate Loss (NORMALIZED): 53.22850740800693
Epoch: 17 | Test Accuracy: 0.671999990940094 | Test Loss (NORMALIZED): 65.12660355758666
Epoch: 18 | Train Accuracy: 0.8927125334739685 | Train Loss: 10.752316296100616
Epoch: 18 | Validate Accuracy: 0.8031495809555054 | Validate Loss (NORMALIZED): 36.64802858867045
Epoch: 18 | Test Accuracy: 0.7279999852180481 | Test Loss (NORMALIZED): 39.143529322624204
Epoch: 19 | Train Accuracy: 0.898785412311554 | Train Loss: 10.587982848286629
Epoch: 19 | Validate Accuracy: 0.8110235929489136 | Validate Loss (NORMALIZED): 36.58938333556408
Epoch: 19 | Test Accuracy: 0.7519999742507935 | Test Loss (NORMALIZED): 40.369153189659116
Epoch: 20 | Train Accuracy: 0.9230769276618958 | Train Loss: 9.3022251278162
Epoch: 20 | Validate Accuracy: 0.8031495809555054 | Validate Loss (NORMALIZED): 35.6501634252353
Epoch: 20 | Test Accuracy: 0.7599999904632568 | Test Loss (NORMALIZED): 44.33891116714477
Epoch: 21 | Train Accuracy: 0.9321862459182739 | Train Loss: 9.111939877271652
Epoch: 21 | Validate Accuracy: 0.8110235929489136 | Validate Loss (NORMALIZED): 37.32298004721093
Epoch: 21 | Test Accuracy: 0.7279999852180481 | Test Loss (NORMALIZED): 40.36714977264404
Epoch: 22 | Train Accuracy: 0.920040488243103 | Train Loss: 9.218948483467102
Epoch: 22 | Validate Accuracy: 0.6220472455024719 | Validate Loss (NORMALIZED): 73.7111935202531
Epoch: 22 | Test Accuracy: 0.6399999856948853 | Test Loss (NORMALIZED): 73.7513352432251
Epoch: 23 | Train Accuracy: 0.9139676094055176 | Train Loss: 9.534873396158218
Epoch: 23 | Validate Accuracy: 0.8031495809555054 | Validate Loss (NORMALIZED): 37.26115128937669
Epoch: 23 | Test Accuracy: 0.7039999961853027 | Test Loss (NORMALIZED): 42.441901624679566
Epoch: 24 | Train Accuracy: 0.9261133670806885 | Train Loss: 9.104916393756866
Epoch: 24 | Validate Accuracy: 0.7401574850082397 | Validate Loss (NORMALIZED): 43.12696103786859
Epoch: 24 | Test Accuracy: 0.7279999852180481 | Test Loss (NORMALIZED): 46.27938720321655
Epoch: 25 | Train Accuracy: 0.9483805894851685 | Train Loss: 8.06852413713932
Epoch: 25 | Validate Accuracy: 0.7952755689620972 | Validate Loss (NORMALIZED): 36.6100108510866
Epoch: 25 | Test Accuracy: 0.7360000014305115 | Test Loss (NORMALIZED): 42.7284825963974
Epoch: 26 | Train Accuracy: 0.9402834177017212 | Train Loss: 8.054342344403267
Epoch: 26 | Validate Accuracy: 0.748031497001648 | Validate Loss (NORMALIZED): 43.7780374861139
Epoch: 26 | Test Accuracy: 0.7440000176429749 | Test Loss (NORMALIZED): 52.02266284990311
Epoch: 27 | Train Accuracy: 0.9524291753768921 | Train Loss: 7.405486464500427
Epoch: 27 | Validate Accuracy: 0.8110235929489136 | Validate Loss (NORMALIZED): 41.098017327428806
Epoch: 27 | Test Accuracy: 0.7839999794960022 | Test Loss (NORMALIZED): 43.064970205307006
