use one gpu
using features: ['aus']
using fold: 4
train size: 988, validate size: 127, test size: 125
Epoch: 0 | Train Accuracy: 0.601214587688446 | Train Loss: 21.88775634765625
Epoch: 0 | Validate Accuracy: 0.6299212574958801 | Validate Loss (NORMALIZED): 44.520041469513906
Epoch: 0 | Test Accuracy: 0.5920000076293945 | Test Loss (NORMALIZED): 45.3989997882843
Epoch: 1 | Train Accuracy: 0.6720647811889648 | Train Loss: 20.221113920211792
Epoch: 1 | Validate Accuracy: 0.6850393414497375 | Validate Loss (NORMALIZED): 42.242582914397474
Epoch: 1 | Test Accuracy: 0.6399999856948853 | Test Loss (NORMALIZED): 43.625899644851685
Epoch: 2 | Train Accuracy: 0.6781376600265503 | Train Loss: 19.3932843208313
Epoch: 2 | Validate Accuracy: 0.6850393414497375 | Validate Loss (NORMALIZED): 41.302317137793295
Epoch: 2 | Test Accuracy: 0.656000018119812 | Test Loss (NORMALIZED): 45.37666374969482
Epoch: 3 | Train Accuracy: 0.7398785352706909 | Train Loss: 17.644764959812164
Epoch: 3 | Validate Accuracy: 0.7401574850082397 | Validate Loss (NORMALIZED): 33.37565722240238
Epoch: 3 | Test Accuracy: 0.7039999961853027 | Test Loss (NORMALIZED): 37.99708059024811
Epoch: 4 | Train Accuracy: 0.7702429294586182 | Train Loss: 16.010337382555008
Epoch: 4 | Validate Accuracy: 0.7637795209884644 | Validate Loss (NORMALIZED): 33.339583298352764
Epoch: 4 | Test Accuracy: 0.7039999961853027 | Test Loss (NORMALIZED): 36.32761658477783
Epoch: 5 | Train Accuracy: 0.78340083360672 | Train Loss: 15.350105166435242
Epoch: 5 | Validate Accuracy: 0.7165354490280151 | Validate Loss (NORMALIZED): 38.66980819627056
Epoch: 5 | Test Accuracy: 0.6880000233650208 | Test Loss (NORMALIZED): 38.1671090965271
Epoch: 6 | Train Accuracy: 0.7803643941879272 | Train Loss: 15.398726463317871
Epoch: 6 | Validate Accuracy: 0.8110235929489136 | Validate Loss (NORMALIZED): 29.59533821316216
Epoch: 6 | Test Accuracy: 0.7919999957084656 | Test Loss (NORMALIZED): 32.38316808891296
Epoch: 7 | Train Accuracy: 0.7874494194984436 | Train Loss: 14.859080195426941
Epoch: 7 | Validate Accuracy: 0.8188976645469666 | Validate Loss (NORMALIZED): 30.96899534773639
Epoch: 7 | Test Accuracy: 0.7519999742507935 | Test Loss (NORMALIZED): 34.72246450328827
Epoch: 8 | Train Accuracy: 0.8026315569877625 | Train Loss: 13.928626418113708
Epoch: 8 | Validate Accuracy: 0.7322834730148315 | Validate Loss (NORMALIZED): 36.42066152640215
Epoch: 8 | Test Accuracy: 0.8080000281333923 | Test Loss (NORMALIZED): 32.582688636779785
Epoch: 9 | Train Accuracy: 0.8157894611358643 | Train Loss: 13.88875725865364
Epoch: 9 | Validate Accuracy: 0.748031497001648 | Validate Loss (NORMALIZED): 31.92166128214889
Epoch: 9 | Test Accuracy: 0.7279999852180481 | Test Loss (NORMALIZED): 32.417305561065675
Epoch: 10 | Train Accuracy: 0.8198380470275879 | Train Loss: 13.519714593887329
Epoch: 10 | Validate Accuracy: 0.7952755689620972 | Validate Loss (NORMALIZED): 30.687972401070784
Epoch: 10 | Test Accuracy: 0.7680000066757202 | Test Loss (NORMALIZED): 33.03470992469788
Epoch: 11 | Train Accuracy: 0.8147773146629333 | Train Loss: 13.233393251895905
Epoch: 11 | Validate Accuracy: 0.5748031735420227 | Validate Loss (NORMALIZED): 71.13474008980698
Epoch: 11 | Test Accuracy: 0.6000000238418579 | Test Loss (NORMALIZED): 69.74340728378296
Epoch: 12 | Train Accuracy: 0.8066801428794861 | Train Loss: 13.233135282993317
Epoch: 12 | Validate Accuracy: 0.6062992215156555 | Validate Loss (NORMALIZED): 54.39438423021572
Epoch: 12 | Test Accuracy: 0.5920000076293945 | Test Loss (NORMALIZED): 50.88885802268982
Epoch: 13 | Train Accuracy: 0.8238866329193115 | Train Loss: 12.712995499372482
Epoch: 13 | Validate Accuracy: 0.7086614370346069 | Validate Loss (NORMALIZED): 38.59257174852326
Epoch: 13 | Test Accuracy: 0.7680000066757202 | Test Loss (NORMALIZED): 36.69530944538116
Epoch: 14 | Train Accuracy: 0.8340080976486206 | Train Loss: 12.918508514761925
Epoch: 14 | Validate Accuracy: 0.8031495809555054 | Validate Loss (NORMALIZED): 35.75666801525852
Epoch: 14 | Test Accuracy: 0.8080000281333923 | Test Loss (NORMALIZED): 40.755503386497494
