use one gpu
using features: ['si']
using fold: 2
train size: 989, validate size: 126, test size: 125
Epoch: 0 | Train Accuracy: 0.6086956262588501 | Train Loss: 21.100780487060547
Epoch: 0 | Validate Accuracy: 0.460317462682724 | Validate Loss (NORMALIZED): 44.14597455991639
Epoch: 0 | Test Accuracy: 0.5040000081062317 | Test Loss (NORMALIZED): 44.39764114952087
Epoch: 1 | Train Accuracy: 0.6683518886566162 | Train Loss: 20.94611269235611
Epoch: 1 | Validate Accuracy: 0.6190476417541504 | Validate Loss (NORMALIZED): 43.83548833879213
Epoch: 1 | Test Accuracy: 0.6320000290870667 | Test Loss (NORMALIZED): 43.70820342969894
Epoch: 2 | Train Accuracy: 0.647118330001831 | Train Loss: 20.76910662651062
Epoch: 2 | Validate Accuracy: 0.658730149269104 | Validate Loss (NORMALIZED): 43.25304046746284
Epoch: 2 | Test Accuracy: 0.6159999966621399 | Test Loss (NORMALIZED): 42.982500288963315
Epoch: 3 | Train Accuracy: 0.6643073558807373 | Train Loss: 20.50987148284912
Epoch: 3 | Validate Accuracy: 0.5476190447807312 | Validate Loss (NORMALIZED): 44.46752073509352
Epoch: 3 | Test Accuracy: 0.6079999804496765 | Test Loss (NORMALIZED): 44.40899566888809
Epoch: 4 | Train Accuracy: 0.656218409538269 | Train Loss: 20.462428092956543
Epoch: 4 | Validate Accuracy: 0.6349206566810608 | Validate Loss (NORMALIZED): 42.385420757153675
Epoch: 4 | Test Accuracy: 0.6320000290870667 | Test Loss (NORMALIZED): 41.80630988168716
Epoch: 5 | Train Accuracy: 0.6754297018051147 | Train Loss: 20.22621738910675
Epoch: 5 | Validate Accuracy: 0.5714285969734192 | Validate Loss (NORMALIZED): 43.85016383112423
Epoch: 5 | Test Accuracy: 0.6240000128746033 | Test Loss (NORMALIZED): 43.46425386595726
Epoch: 6 | Train Accuracy: 0.6632962822914124 | Train Loss: 20.118731677532196
Epoch: 6 | Validate Accuracy: 0.6349206566810608 | Validate Loss (NORMALIZED): 42.13631353822965
Epoch: 6 | Test Accuracy: 0.6320000290870667 | Test Loss (NORMALIZED): 41.31256395721436
Epoch: 7 | Train Accuracy: 0.665318489074707 | Train Loss: 19.91637033224106
