use one gpu
using features: ['aus']
using fold: 5
train size: 990, validate size: 125, test size: 125
Epoch: 0 | Train Accuracy: 0.5919191837310791 | Train Loss: 21.81036603450775
Epoch: 0 | Validate Accuracy: 0.6000000238418579 | Validate Loss (NORMALIZED): 45.23492177009582
Epoch: 0 | Test Accuracy: 0.5600000023841858 | Test Loss (NORMALIZED): 45.36269898891449
Epoch: 1 | Train Accuracy: 0.678787887096405 | Train Loss: 19.776758670806885
Epoch: 1 | Validate Accuracy: 0.6480000019073486 | Validate Loss (NORMALIZED): 42.306519527435306
Epoch: 1 | Test Accuracy: 0.6639999747276306 | Test Loss (NORMALIZED): 41.90234981060028
Epoch: 2 | Train Accuracy: 0.6949495077133179 | Train Loss: 18.977487832307816
Epoch: 2 | Validate Accuracy: 0.656000018119812 | Validate Loss (NORMALIZED): 40.2533606672287
Epoch: 2 | Test Accuracy: 0.6800000071525574 | Test Loss (NORMALIZED): 38.68921550273895
Epoch: 3 | Train Accuracy: 0.7242424488067627 | Train Loss: 17.919900238513947
Epoch: 3 | Validate Accuracy: 0.6800000071525574 | Validate Loss (NORMALIZED): 40.392978315353396
Epoch: 3 | Test Accuracy: 0.6880000233650208 | Test Loss (NORMALIZED): 43.57398432970047
Epoch: 4 | Train Accuracy: 0.7565656304359436 | Train Loss: 17.0319165289402
Epoch: 4 | Validate Accuracy: 0.7120000123977661 | Validate Loss (NORMALIZED): 32.40218782424927
Epoch: 4 | Test Accuracy: 0.7200000286102295 | Test Loss (NORMALIZED): 35.08936740159989
Epoch: 5 | Train Accuracy: 0.7787878513336182 | Train Loss: 15.580520778894424
Epoch: 5 | Validate Accuracy: 0.7760000228881836 | Validate Loss (NORMALIZED): 31.448680629730223
Epoch: 5 | Test Accuracy: 0.7519999742507935 | Test Loss (NORMALIZED): 35.98718558549881
Epoch: 6 | Train Accuracy: 0.7787878513336182 | Train Loss: 15.358227223157883
Epoch: 6 | Validate Accuracy: 0.7039999961853027 | Validate Loss (NORMALIZED): 38.52987482070923
Epoch: 6 | Test Accuracy: 0.6959999799728394 | Test Loss (NORMALIZED): 42.67913191795349
Epoch: 7 | Train Accuracy: 0.7777777910232544 | Train Loss: 15.807989925146103
Epoch: 7 | Validate Accuracy: 0.7599999904632568 | Validate Loss (NORMALIZED): 30.937480645179747
Epoch: 7 | Test Accuracy: 0.7519999742507935 | Test Loss (NORMALIZED): 39.46778793096542
Epoch: 8 | Train Accuracy: 0.8040404319763184 | Train Loss: 14.885822921991348
Epoch: 8 | Validate Accuracy: 0.7839999794960022 | Validate Loss (NORMALIZED): 30.446236660480498
Epoch: 8 | Test Accuracy: 0.7599999904632568 | Test Loss (NORMALIZED): 33.84180454730988
Epoch: 9 | Train Accuracy: 0.7989898920059204 | Train Loss: 14.242893815040588
Epoch: 9 | Validate Accuracy: 0.7839999794960022 | Validate Loss (NORMALIZED): 31.049120664596558
Epoch: 9 | Test Accuracy: 0.7919999957084656 | Test Loss (NORMALIZED): 32.13808988571167
Epoch: 10 | Train Accuracy: 0.8292929530143738 | Train Loss: 13.331705778837204
Epoch: 10 | Validate Accuracy: 0.800000011920929 | Validate Loss (NORMALIZED): 29.475761425495147
Epoch: 10 | Test Accuracy: 0.7839999794960022 | Test Loss (NORMALIZED): 33.438505561351775
Epoch: 11 | Train Accuracy: 0.8050504922866821 | Train Loss: 13.890717595815659
Epoch: 11 | Validate Accuracy: 0.6639999747276306 | Validate Loss (NORMALIZED): 48.7892102766037
Epoch: 11 | Test Accuracy: 0.671999990940094 | Test Loss (NORMALIZED): 43.80636868715286
Epoch: 12 | Train Accuracy: 0.8232323527336121 | Train Loss: 13.376671940088272
Epoch: 12 | Validate Accuracy: 0.7599999904632568 | Validate Loss (NORMALIZED): 30.408076862096785
Epoch: 12 | Test Accuracy: 0.7760000228881836 | Test Loss (NORMALIZED): 33.745038471221925
Epoch: 13 | Train Accuracy: 0.8333333134651184 | Train Loss: 12.926095962524414
Epoch: 13 | Validate Accuracy: 0.7760000228881836 | Validate Loss (NORMALIZED): 32.937134521007536
Epoch: 13 | Test Accuracy: 0.7760000228881836 | Test Loss (NORMALIZED): 34.69530869007111
Epoch: 14 | Train Accuracy: 0.8272727131843567 | Train Loss: 13.00588083267212
Epoch: 14 | Validate Accuracy: 0.7200000286102295 | Validate Loss (NORMALIZED): 36.534313781261446
Epoch: 14 | Test Accuracy: 0.7760000228881836 | Test Loss (NORMALIZED): 34.85830471873283
Epoch: 15 | Train Accuracy: 0.8242424130439758 | Train Loss: 12.770755380392075
Epoch: 15 | Validate Accuracy: 0.7599999904632568 | Validate Loss (NORMALIZED): 29.31996621608734
Epoch: 15 | Test Accuracy: 0.7760000228881836 | Test Loss (NORMALIZED): 35.66941755652427
Epoch: 16 | Train Accuracy: 0.8303030133247375 | Train Loss: 12.790441527962685
Epoch: 16 | Validate Accuracy: 0.6800000071525574 | Validate Loss (NORMALIZED): 47.19925899982452
Epoch: 16 | Test Accuracy: 0.7200000286102295 | Test Loss (NORMALIZED): 39.50763171672821
Epoch: 17 | Train Accuracy: 0.8464646339416504 | Train Loss: 12.488160744309425
Epoch: 17 | Validate Accuracy: 0.7279999852180481 | Validate Loss (NORMALIZED): 50.290572180747986
Epoch: 17 | Test Accuracy: 0.7120000123977661 | Test Loss (NORMALIZED): 48.685522964000704
Epoch: 18 | Train Accuracy: 0.8383838534355164 | Train Loss: 12.670523583889008
Epoch: 18 | Validate Accuracy: 0.7919999957084656 | Validate Loss (NORMALIZED): 30.35963304519653
Epoch: 18 | Test Accuracy: 0.7760000228881836 | Test Loss (NORMALIZED): 39.799613342285156
Epoch: 19 | Train Accuracy: 0.8484848737716675 | Train Loss: 12.043922513723373
Epoch: 19 | Validate Accuracy: 0.7680000066757202 | Validate Loss (NORMALIZED): 34.465808436870574
Epoch: 19 | Test Accuracy: 0.7279999852180481 | Test Loss (NORMALIZED): 34.55378152370453
Epoch: 20 | Train Accuracy: 0.8464646339416504 | Train Loss: 11.80649483203888
Epoch: 20 | Validate Accuracy: 0.6959999799728394 | Validate Loss (NORMALIZED): 38.24662457942963
Epoch: 20 | Test Accuracy: 0.7120000123977661 | Test Loss (NORMALIZED): 39.31396738529205
Epoch: 21 | Train Accuracy: 0.8565656542778015 | Train Loss: 11.731124430894852
Epoch: 21 | Validate Accuracy: 0.7120000123977661 | Validate Loss (NORMALIZED): 41.1166042971611
Epoch: 21 | Test Accuracy: 0.7200000286102295 | Test Loss (NORMALIZED): 37.58277171134949
Epoch: 22 | Train Accuracy: 0.8626262545585632 | Train Loss: 11.667060524225235
Epoch: 22 | Validate Accuracy: 0.7519999742507935 | Validate Loss (NORMALIZED): 33.96470718383789
Epoch: 22 | Test Accuracy: 0.7440000176429749 | Test Loss (NORMALIZED): 35.450165090560915
Epoch: 23 | Train Accuracy: 0.8696969747543335 | Train Loss: 10.972926616668701
Epoch: 23 | Validate Accuracy: 0.656000018119812 | Validate Loss (NORMALIZED): 50.50012021064758
Epoch: 23 | Test Accuracy: 0.5839999914169312 | Test Loss (NORMALIZED): 62.500274934768676
Epoch: 24 | Train Accuracy: 0.8626262545585632 | Train Loss: 11.507494151592255
Epoch: 24 | Validate Accuracy: 0.7519999742507935 | Validate Loss (NORMALIZED): 42.05922393321991
Epoch: 24 | Test Accuracy: 0.7200000286102295 | Test Loss (NORMALIZED): 41.269363396167755
Epoch: 25 | Train Accuracy: 0.8818181753158569 | Train Loss: 10.548526287078857
Epoch: 25 | Validate Accuracy: 0.7519999742507935 | Validate Loss (NORMALIZED): 36.23371619224548
Epoch: 25 | Test Accuracy: 0.7760000228881836 | Test Loss (NORMALIZED): 37.695737063884735
Epoch: 26 | Train Accuracy: 0.8818181753158569 | Train Loss: 10.441692590713501
Epoch: 26 | Validate Accuracy: 0.7680000066757202 | Validate Loss (NORMALIZED): 37.4382209444046
Epoch: 26 | Test Accuracy: 0.7760000228881836 | Test Loss (NORMALIZED): 36.572334201335906
Epoch: 27 | Train Accuracy: 0.8777777552604675 | Train Loss: 10.309456750750542
Epoch: 27 | Validate Accuracy: 0.7200000286102295 | Validate Loss (NORMALIZED): 34.681940174102785
Epoch: 27 | Test Accuracy: 0.7120000123977661 | Test Loss (NORMALIZED): 39.14805220127106
Epoch: 28 | Train Accuracy: 0.8797979950904846 | Train Loss: 10.229701116681099
Epoch: 28 | Validate Accuracy: 0.7120000123977661 | Validate Loss (NORMALIZED): 36.659856462478636
Epoch: 28 | Test Accuracy: 0.7360000014305115 | Test Loss (NORMALIZED): 39.399575171470644
Epoch: 29 | Train Accuracy: 0.8818181753158569 | Train Loss: 10.46753540635109
