use one gpu
using features: {'auwise', 'crossau', 'si', 'aus', 'videos'}
using lr: 0.005
using fold: 2
train size: 989, validate size: 126, test size: 125
Epoch: 0 | Train Accuracy: 0.530839204788208 | Train Loss: 29.2378026843071
Epoch: 0 | Validate Accuracy: 0.579365074634552 | Validate Loss: 60.600453483679935
Epoch: 0 | Test Accuracy: 0.5920000076293945 | Test Loss: 61.947229575634005
Epoch: 1 | Train Accuracy: 0.7027300596237183 | Train Loss: 27.766003787517548
Epoch: 1 | Validate Accuracy: 0.6904761791229248 | Validate Loss: 58.433478183216515
Epoch: 1 | Test Accuracy: 0.656000018119812 | Test Loss: 60.232893805027004
Epoch: 2 | Train Accuracy: 0.8382204174995422 | Train Loss: 26.501129508018494
Epoch: 2 | Validate Accuracy: 0.738095223903656 | Validate Loss: 56.45247198664953
Epoch: 2 | Test Accuracy: 0.7039999961853027 | Test Loss: 59.00248164176941
Epoch: 3 | Train Accuracy: 0.8776541948318481 | Train Loss: 25.387489020824432
Epoch: 3 | Validate Accuracy: 0.7777777910232544 | Validate Loss: 55.088245368193064
Epoch: 3 | Test Accuracy: 0.7440000176429749 | Test Loss: 57.896207570552825
Epoch: 4 | Train Accuracy: 0.9019211530685425 | Train Loss: 24.40885329246521
Epoch: 4 | Validate Accuracy: 0.7777777910232544 | Validate Loss: 53.59661781030988
Epoch: 4 | Test Accuracy: 0.7680000066757202 | Test Loss: 56.84188689804077
Epoch: 5 | Train Accuracy: 0.9160768389701843 | Train Loss: 23.542721807956696
Epoch: 5 | Validate Accuracy: 0.8095238208770752 | Validate Loss: 52.27739547358619
Epoch: 5 | Test Accuracy: 0.7599999904632568 | Test Loss: 56.047145053863524
Epoch: 6 | Train Accuracy: 0.926188051700592 | Train Loss: 22.77386087179184
Epoch: 6 | Validate Accuracy: 0.817460298538208 | Validate Loss: 51.10036325596627
Epoch: 6 | Test Accuracy: 0.7519999742507935 | Test Loss: 55.36750277042389
Epoch: 7 | Train Accuracy: 0.9332659244537354 | Train Loss: 22.089297473430634
Epoch: 7 | Validate Accuracy: 0.8492063283920288 | Validate Loss: 50.43223489371557
Epoch: 7 | Test Accuracy: 0.7760000228881836 | Test Loss: 54.959448404312134
Epoch: 8 | Train Accuracy: 0.9373103976249695 | Train Loss: 21.485065042972565
Epoch: 8 | Validate Accuracy: 0.841269850730896 | Validate Loss: 49.59004231719744
Epoch: 8 | Test Accuracy: 0.7760000228881836 | Test Loss: 54.380989003181455
Epoch: 9 | Train Accuracy: 0.9362992644309998 | Train Loss: 20.94972187280655
Epoch: 9 | Validate Accuracy: 0.841269850730896 | Validate Loss: 48.889604760067805
Epoch: 9 | Test Accuracy: 0.7839999794960022 | Test Loss: 53.71087570667267
Epoch: 10 | Train Accuracy: 0.9433771371841431 | Train Loss: 20.474441289901733
Epoch: 10 | Validate Accuracy: 0.8492063283920288 | Validate Loss: 48.19912022588745
Epoch: 10 | Test Accuracy: 0.7919999957084656 | Test Loss: 53.36228436946869
Epoch: 11 | Train Accuracy: 0.9443882703781128 | Train Loss: 20.041544377803802
Epoch: 11 | Validate Accuracy: 0.841269850730896 | Validate Loss: 47.84539164295272
Epoch: 11 | Test Accuracy: 0.7919999957084656 | Test Loss: 52.93959791994095
Epoch: 12 | Train Accuracy: 0.9453994035720825 | Train Loss: 19.653945207595825
Epoch: 12 | Validate Accuracy: 0.8333333134651184 | Validate Loss: 47.08878832677054
Epoch: 12 | Test Accuracy: 0.7919999957084656 | Test Loss: 52.949313185691835
Epoch: 13 | Train Accuracy: 0.9464105367660522 | Train Loss: 19.30551642179489
Epoch: 13 | Validate Accuracy: 0.8333333134651184 | Validate Loss: 46.75173482346156
Epoch: 13 | Test Accuracy: 0.7760000228881836 | Test Loss: 52.65286859989166
Epoch: 14 | Train Accuracy: 0.9474216103553772 | Train Loss: 19.015564739704132
Epoch: 14 | Validate Accuracy: 0.8333333134651184 | Validate Loss: 46.61760574531933
Epoch: 14 | Test Accuracy: 0.7760000228881836 | Test Loss: 52.62095597267151
Epoch: 15 | Train Accuracy: 0.9504550099372864 | Train Loss: 18.707023322582245
Epoch: 15 | Validate Accuracy: 0.8333333134651184 | Validate Loss: 46.08672982217773
Epoch: 15 | Test Accuracy: 0.7760000228881836 | Test Loss: 52.205279265880584
Epoch: 16 | Train Accuracy: 0.9514661431312561 | Train Loss: 18.45011132955551
Epoch: 16 | Validate Accuracy: 0.8333333134651184 | Validate Loss: 46.003415712288444
Epoch: 16 | Test Accuracy: 0.7760000228881836 | Test Loss: 52.38273177099228
Epoch: 17 | Train Accuracy: 0.9514661431312561 | Train Loss: 18.19858890771866
Epoch: 17 | Validate Accuracy: 0.8333333134651184 | Validate Loss: 45.872938196810466
Epoch: 17 | Test Accuracy: 0.7760000228881836 | Test Loss: 52.47769954299927
Epoch: 18 | Train Accuracy: 0.9484327435493469 | Train Loss: 17.998542487621307
Epoch: 18 | Validate Accuracy: 0.841269850730896 | Validate Loss: 45.38927761051389
Epoch: 18 | Test Accuracy: 0.7760000228881836 | Test Loss: 52.36871558666229
Epoch: 19 | Train Accuracy: 0.9494438767433167 | Train Loss: 17.791618824005127
Epoch: 19 | Validate Accuracy: 0.841269850730896 | Validate Loss: 45.3926999270916
Epoch: 19 | Test Accuracy: 0.7760000228881836 | Test Loss: 51.95598114204407
Epoch: 20 | Train Accuracy: 0.9494438767433167 | Train Loss: 17.6108395755291
Epoch: 20 | Validate Accuracy: 0.841269850730896 | Validate Loss: 45.332959800485575
Epoch: 20 | Test Accuracy: 0.7760000228881836 | Test Loss: 52.35262486934662
Epoch: 21 | Train Accuracy: 0.9504550099372864 | Train Loss: 17.440815925598145
Epoch: 21 | Validate Accuracy: 0.8333333134651184 | Validate Loss: 45.17487778124355
Epoch: 21 | Test Accuracy: 0.7760000228881836 | Test Loss: 52.42597250843048
Epoch: 22 | Train Accuracy: 0.9504550099372864 | Train Loss: 17.282935112714767
Epoch: 22 | Validate Accuracy: 0.841269850730896 | Validate Loss: 44.813592966586825
Epoch: 22 | Test Accuracy: 0.7760000228881836 | Test Loss: 52.05725174045563
Epoch: 23 | Train Accuracy: 0.9504550099372864 | Train Loss: 17.144538700580597
Epoch: 23 | Validate Accuracy: 0.8333333134651184 | Validate Loss: 44.6098647765697
Epoch: 23 | Test Accuracy: 0.7760000228881836 | Test Loss: 52.405467218875884
Epoch: 24 | Train Accuracy: 0.9524772763252258 | Train Loss: 17.008969724178314
Epoch: 24 | Validate Accuracy: 0.8333333134651184 | Validate Loss: 44.8425701397752
Epoch: 24 | Test Accuracy: 0.7760000228881836 | Test Loss: 52.61664939498901
Epoch: 25 | Train Accuracy: 0.9514661431312561 | Train Loss: 16.873336046934128
Epoch: 25 | Validate Accuracy: 0.8333333134651184 | Validate Loss: 44.65555211807054
Epoch: 25 | Test Accuracy: 0.7760000228881836 | Test Loss: 52.473879648208616
Epoch: 26 | Train Accuracy: 0.9514661431312561 | Train Loss: 16.75612536072731
