use one gpu
using features: ['crossau']
using fold: 6
train size: 990, validate size: 125, test size: 125
Epoch: 0 | Train Accuracy: 0.6939393877983093 | Train Loss: 26.52472496032715
Epoch: 0 | Validate Accuracy: 0.6880000233650208 | Validate Loss: 53.01802229404449
Epoch: 0 | Test Accuracy: 0.7360000014305115 | Test Loss: 52.361328349113464
Epoch: 1 | Train Accuracy: 0.773737370967865 | Train Loss: 23.392268180847168
Epoch: 1 | Validate Accuracy: 0.7440000176429749 | Validate Loss: 48.64547288417816
Epoch: 1 | Test Accuracy: 0.7519999742507935 | Test Loss: 46.65171207904816
Epoch: 2 | Train Accuracy: 0.794949471950531 | Train Loss: 21.48865169286728
Epoch: 2 | Validate Accuracy: 0.7279999852180481 | Validate Loss: 46.38775340080261
Epoch: 2 | Test Accuracy: 0.7599999904632568 | Test Loss: 44.04265445709228
Epoch: 3 | Train Accuracy: 0.8202019929885864 | Train Loss: 20.199877977371216
Epoch: 3 | Validate Accuracy: 0.7440000176429749 | Validate Loss: 45.629444289207456
Epoch: 3 | Test Accuracy: 0.7599999904632568 | Test Loss: 42.37348531723023
Epoch: 4 | Train Accuracy: 0.8272727131843567 | Train Loss: 19.220522314310074
Epoch: 4 | Validate Accuracy: 0.7680000066757202 | Validate Loss: 44.914971013069156
Epoch: 4 | Test Accuracy: 0.7760000228881836 | Test Loss: 41.3213535118103
Epoch: 5 | Train Accuracy: 0.8515151739120483 | Train Loss: 18.166454404592514
Epoch: 5 | Validate Accuracy: 0.7279999852180481 | Validate Loss: 44.36912401199341
Epoch: 5 | Test Accuracy: 0.7760000228881836 | Test Loss: 40.852209663391115
Epoch: 6 | Train Accuracy: 0.8757575750350952 | Train Loss: 17.076874524354935
Epoch: 6 | Validate Accuracy: 0.7279999852180481 | Validate Loss: 44.40439982414246
Epoch: 6 | Test Accuracy: 0.7680000066757202 | Test Loss: 40.0361523771286
Epoch: 7 | Train Accuracy: 0.8838383555412292 | Train Loss: 16.39803320169449
Epoch: 7 | Validate Accuracy: 0.7440000176429749 | Validate Loss: 44.17018242359161
