use one gpu
using features: ['d1d9']
using lr: 2e-05
using fold: 6
train size: 991, validate size: 125, test size: 124
Epoch: 0 | Train Accuracy: 0.49445006251335144 | Train Loss: 22.730244874954224
Epoch: 0 | Validate Accuracy: 0.5120000243186951 | Validate Loss: 46.084307866096495
Epoch: 0 | Test Accuracy: 0.49193549156188965 | Test Loss: 46.501558544655005
Epoch: 1 | Train Accuracy: 0.5095862746238708 | Train Loss: 22.57692551612854
Epoch: 1 | Validate Accuracy: 0.5839999914169312 | Validate Loss: 46.00268836832046
Epoch: 1 | Test Accuracy: 0.5322580933570862 | Test Loss: 46.479647575847565
Epoch: 2 | Train Accuracy: 0.5287588238716125 | Train Loss: 22.467967689037323
Epoch: 2 | Validate Accuracy: 0.5360000133514404 | Validate Loss: 45.67796541166305
Epoch: 2 | Test Accuracy: 0.49193549156188965 | Test Loss: 46.39983404836347
Epoch: 3 | Train Accuracy: 0.5519676804542542 | Train Loss: 22.370960474014282
Epoch: 3 | Validate Accuracy: 0.527999997138977 | Validate Loss: 45.64616781663894
Epoch: 3 | Test Accuracy: 0.5161290168762207 | Test Loss: 46.75496065905018
Epoch: 4 | Train Accuracy: 0.5640766620635986 | Train Loss: 22.237822234630585
Epoch: 4 | Validate Accuracy: 0.527999997138977 | Validate Loss: 45.491182775497435
Epoch: 4 | Test Accuracy: 0.5080645084381104 | Test Loss: 46.53227019934885
Epoch: 5 | Train Accuracy: 0.5731584429740906 | Train Loss: 22.093665182590485
Epoch: 5 | Validate Accuracy: 0.527999997138977 | Validate Loss: 45.49128862571716
Epoch: 5 | Test Accuracy: 0.524193525314331 | Test Loss: 46.408872436131205
Epoch: 6 | Train Accuracy: 0.5782038569450378 | Train Loss: 22.021520733833313
Epoch: 6 | Validate Accuracy: 0.5360000133514404 | Validate Loss: 44.990912427425386
Epoch: 6 | Test Accuracy: 0.5483871102333069 | Test Loss: 46.03803797066212
Epoch: 7 | Train Accuracy: 0.5923309922218323 | Train Loss: 21.896048605442047
Epoch: 7 | Validate Accuracy: 0.5440000295639038 | Validate Loss: 44.99679798316956
Epoch: 7 | Test Accuracy: 0.5725806355476379 | Test Loss: 45.72848867120282
Epoch: 8 | Train Accuracy: 0.6014127135276794 | Train Loss: 21.777402818202972
Epoch: 8 | Validate Accuracy: 0.5360000133514404 | Validate Loss: 44.95138634872436
Epoch: 8 | Test Accuracy: 0.5564516186714172 | Test Loss: 45.89009308190115
Epoch: 9 | Train Accuracy: 0.5953582525253296 | Train Loss: 21.7466961145401
