use one gpu
using features: ['d2da27']
using fold: 1
train size: 991, validate size: 124, test size: 125
Epoch: 0 | Train Accuracy: 0.6256306767463684 | Train Loss: 20.756330370903015
Epoch: 0 | Validate Accuracy: 0.5322580933570862 | Validate Loss (NORMALIZED): 46.08543258184387
Epoch: 0 | Test Accuracy: 0.4959999918937683 | Test Loss (NORMALIZED): 46.087374687194824
Epoch: 1 | Train Accuracy: 0.6831483244895935 | Train Loss: 19.49648880958557
Epoch: 1 | Validate Accuracy: 0.6129032373428345 | Validate Loss (NORMALIZED): 45.56731869761021
Epoch: 1 | Test Accuracy: 0.6320000290870667 | Test Loss (NORMALIZED): 45.02510582876205
Epoch: 2 | Train Accuracy: 0.7023208737373352 | Train Loss: 18.929465234279633
Epoch: 2 | Validate Accuracy: 0.5322580933570862 | Validate Loss (NORMALIZED): 137.36410350280423
Epoch: 2 | Test Accuracy: 0.4959999918937683 | Test Loss (NORMALIZED): 154.18895203495026
Epoch: 3 | Train Accuracy: 0.7527749538421631 | Train Loss: 16.55864742398262
Epoch: 3 | Validate Accuracy: 0.725806474685669 | Validate Loss (NORMALIZED): 41.515487202713565
Epoch: 3 | Test Accuracy: 0.6880000233650208 | Test Loss (NORMALIZED): 44.22166060447693
Epoch: 4 | Train Accuracy: 0.7487386465072632 | Train Loss: 16.273661643266678
Epoch: 4 | Validate Accuracy: 0.47580644488334656 | Validate Loss (NORMALIZED): 110.18428909874731
Epoch: 4 | Test Accuracy: 0.5040000081062317 | Test Loss (NORMALIZED): 108.48572480678558
Epoch: 5 | Train Accuracy: 0.7568113207817078 | Train Loss: 16.69754457473755
Epoch: 5 | Validate Accuracy: 0.5322580933570862 | Validate Loss (NORMALIZED): 546.7656020387527
Epoch: 5 | Test Accuracy: 0.4959999918937683 | Test Loss (NORMALIZED): 583.629705909729
Epoch: 6 | Train Accuracy: 0.7658930420875549 | Train Loss: 16.61714419722557
Epoch: 6 | Validate Accuracy: 0.6612903475761414 | Validate Loss (NORMALIZED): 42.84178510164061
Epoch: 6 | Test Accuracy: 0.7360000014305115 | Test Loss (NORMALIZED): 42.46037437915802
Epoch: 7 | Train Accuracy: 0.7709384560585022 | Train Loss: 15.710987836122513
Epoch: 7 | Validate Accuracy: 0.5322580933570862 | Validate Loss (NORMALIZED): 188.0524986838141
Epoch: 7 | Test Accuracy: 0.4959999918937683 | Test Loss (NORMALIZED): 198.22843023490907
Epoch: 8 | Train Accuracy: 0.7719475030899048 | Train Loss: 16.145786434412003
Epoch: 8 | Validate Accuracy: 0.6935483813285828 | Validate Loss (NORMALIZED): 38.35139816110173
Epoch: 8 | Test Accuracy: 0.7279999852180481 | Test Loss (NORMALIZED): 41.09494127678871
Epoch: 9 | Train Accuracy: 0.7739657163619995 | Train Loss: 15.130402505397797
Epoch: 9 | Validate Accuracy: 0.7419354915618896 | Validate Loss (NORMALIZED): 34.05659104234749
Epoch: 9 | Test Accuracy: 0.6800000071525574 | Test Loss (NORMALIZED): 38.5358380818367
Epoch: 10 | Train Accuracy: 0.7931382656097412 | Train Loss: 14.956609189510345
Epoch: 10 | Validate Accuracy: 0.5322580933570862 | Validate Loss (NORMALIZED): 297.9558422603915
Epoch: 10 | Test Accuracy: 0.4959999918937683 | Test Loss (NORMALIZED): 326.77503328323365
Epoch: 11 | Train Accuracy: 0.788092851638794 | Train Loss: 15.37110522389412
Epoch: 11 | Validate Accuracy: 0.4677419364452362 | Validate Loss (NORMALIZED): 131.60214797335286
Epoch: 11 | Test Accuracy: 0.5040000081062317 | Test Loss (NORMALIZED): 127.34992378520965
Epoch: 12 | Train Accuracy: 0.7820383310317993 | Train Loss: 14.814493656158447
Epoch: 12 | Validate Accuracy: 0.6209677457809448 | Validate Loss (NORMALIZED): 68.59185127096792
Epoch: 12 | Test Accuracy: 0.6399999856948853 | Test Loss (NORMALIZED): 73.60356081581115
Epoch: 13 | Train Accuracy: 0.7951564192771912 | Train Loss: 14.399629652500153
Epoch: 13 | Validate Accuracy: 0.7338709831237793 | Validate Loss (NORMALIZED): 44.4277570624986
Epoch: 13 | Test Accuracy: 0.6959999799728394 | Test Loss (NORMALIZED): 52.9785590262413
Epoch: 14 | Train Accuracy: 0.8092835545539856 | Train Loss: 14.134413838386536
Epoch: 14 | Validate Accuracy: 0.7419354915618896 | Validate Loss (NORMALIZED): 40.820383069976685
Epoch: 14 | Test Accuracy: 0.7039999961853027 | Test Loss (NORMALIZED): 50.31508822345734
Epoch: 15 | Train Accuracy: 0.8022199869155884 | Train Loss: 14.067869365215302
Epoch: 15 | Validate Accuracy: 0.5322580933570862 | Validate Loss (NORMALIZED): 77.44120125857091
Epoch: 15 | Test Accuracy: 0.4880000054836273 | Test Loss (NORMALIZED): 82.77131544780731
Epoch: 16 | Train Accuracy: 0.7941473126411438 | Train Loss: 14.633756935596466
Epoch: 16 | Validate Accuracy: 0.5080645084381104 | Validate Loss (NORMALIZED): 203.0537577098416
Epoch: 16 | Test Accuracy: 0.5120000243186951 | Test Loss (NORMALIZED): 211.19141141700746
Epoch: 17 | Train Accuracy: 0.7941473126411438 | Train Loss: 14.59112173318863
Epoch: 17 | Validate Accuracy: 0.47580644488334656 | Validate Loss (NORMALIZED): 121.75794130083054
Epoch: 17 | Test Accuracy: 0.4959999918937683 | Test Loss (NORMALIZED): 115.0432527141571
Epoch: 18 | Train Accuracy: 0.8163471221923828 | Train Loss: 14.280241161584854
Epoch: 18 | Validate Accuracy: 0.7580645084381104 | Validate Loss (NORMALIZED): 36.651172814109636
Epoch: 18 | Test Accuracy: 0.7279999852180481 | Test Loss (NORMALIZED): 41.07301586866379
Epoch: 19 | Train Accuracy: 0.8284561038017273 | Train Loss: 13.067394375801086
Epoch: 19 | Validate Accuracy: 0.6290322542190552 | Validate Loss (NORMALIZED): 46.06101407254896
Epoch: 19 | Test Accuracy: 0.6000000238418579 | Test Loss (NORMALIZED): 49.20584076929092
Epoch: 20 | Train Accuracy: 0.8224016427993774 | Train Loss: 13.040405690670013
Epoch: 20 | Validate Accuracy: 0.6693548560142517 | Validate Loss (NORMALIZED): 46.40468430999787
Epoch: 20 | Test Accuracy: 0.6320000290870667 | Test Loss (NORMALIZED): 50.6310506567955
Epoch: 21 | Train Accuracy: 0.8365287780761719 | Train Loss: 12.94876018166542
Epoch: 21 | Validate Accuracy: 0.6854838728904724 | Validate Loss (NORMALIZED): 38.28996842090161
Epoch: 21 | Test Accuracy: 0.6880000233650208 | Test Loss (NORMALIZED): 43.182291779518124
Epoch: 22 | Train Accuracy: 0.8304742574691772 | Train Loss: 13.026690393686295
Epoch: 22 | Validate Accuracy: 0.5322580933570862 | Validate Loss (NORMALIZED): 193.4169976134454
Epoch: 22 | Test Accuracy: 0.4959999918937683 | Test Loss (NORMALIZED): 208.62796292877198
Epoch: 23 | Train Accuracy: 0.8284561038017273 | Train Loss: 12.766962677240372
Epoch: 23 | Validate Accuracy: 0.6209677457809448 | Validate Loss (NORMALIZED): 74.3422742101454
Epoch: 23 | Test Accuracy: 0.5680000185966492 | Test Loss (NORMALIZED): 76.94205973434448
Epoch: 24 | Train Accuracy: 0.8395559787750244 | Train Loss: 12.332201555371284
Epoch: 24 | Validate Accuracy: 0.6612903475761414 | Validate Loss (NORMALIZED): 39.241973506346824
Epoch: 24 | Test Accuracy: 0.6959999799728394 | Test Loss (NORMALIZED): 45.46902180337906
Epoch: 25 | Train Accuracy: 0.849646806716919 | Train Loss: 12.195855975151062
Epoch: 25 | Validate Accuracy: 0.47580644488334656 | Validate Loss (NORMALIZED): 123.94964315429812
Epoch: 25 | Test Accuracy: 0.5040000081062317 | Test Loss (NORMALIZED): 136.07688974952697
Epoch: 26 | Train Accuracy: 0.8385469317436218 | Train Loss: 12.366946280002594
Epoch: 26 | Validate Accuracy: 0.524193525314331 | Validate Loss (NORMALIZED): 105.00187028656083
Epoch: 26 | Test Accuracy: 0.5519999861717224 | Test Loss (NORMALIZED): 98.66958701658248
Epoch: 27 | Train Accuracy: 0.8375378251075745 | Train Loss: 12.422573387622833
Epoch: 27 | Validate Accuracy: 0.5322580933570862 | Validate Loss (NORMALIZED): 152.23087852135782
Epoch: 27 | Test Accuracy: 0.4959999918937683 | Test Loss (NORMALIZED): 157.08403209686279
Epoch: 28 | Train Accuracy: 0.8425832390785217 | Train Loss: 12.207913130521774
Epoch: 28 | Validate Accuracy: 0.5322580933570862 | Validate Loss (NORMALIZED): 146.75088696422117
Epoch: 28 | Test Accuracy: 0.4959999918937683 | Test Loss (NORMALIZED): 153.04600215435028
Epoch: 29 | Train Accuracy: 0.8617557883262634 | Train Loss: 11.59995436668396
Epoch: 29 | Validate Accuracy: 0.6290322542190552 | Validate Loss (NORMALIZED): 69.09394195243236
Epoch: 29 | Test Accuracy: 0.6480000019073486 | Test Loss (NORMALIZED): 68.95729660892486
Epoch: 30 | Train Accuracy: 0.8557013273239136 | Train Loss: 11.267267912626266
Epoch: 30 | Validate Accuracy: 0.7338709831237793 | Validate Loss (NORMALIZED): 53.125204591741486
Epoch: 30 | Test Accuracy: 0.6639999747276306 | Test Loss (NORMALIZED): 64.91874426722526
Epoch: 31 | Train Accuracy: 0.8526740670204163 | Train Loss: 11.577489405870438
Epoch: 31 | Validate Accuracy: 0.5322580933570862 | Validate Loss (NORMALIZED): 271.8736103388571
Epoch: 31 | Test Accuracy: 0.4959999918937683 | Test Loss (NORMALIZED): 290.74310435867307
Epoch: 32 | Train Accuracy: 0.8668012022972107 | Train Loss: 10.938771471381187
Epoch: 32 | Validate Accuracy: 0.5322580933570862 | Validate Loss (NORMALIZED): 576.0629657891488
Epoch: 32 | Test Accuracy: 0.4959999918937683 | Test Loss (NORMALIZED): 608.7852072067261
Epoch: 33 | Train Accuracy: 0.8668012022972107 | Train Loss: 10.881100878119469
Epoch: 33 | Validate Accuracy: 0.5645161271095276 | Validate Loss (NORMALIZED): 82.7052675706725
Epoch: 33 | Test Accuracy: 0.5519999861717224 | Test Loss (NORMALIZED): 84.93544303703308
Epoch: 34 | Train Accuracy: 0.8466195464134216 | Train Loss: 11.622141629457474
Epoch: 34 | Validate Accuracy: 0.4677419364452362 | Validate Loss (NORMALIZED): 327.1146110469295
Epoch: 34 | Test Accuracy: 0.5040000081062317 | Test Loss (NORMALIZED): 372.8928474693298
Epoch: 35 | Train Accuracy: 0.8728557229042053 | Train Loss: 11.02841430902481
