use one gpu
using features: ['videos']
using fold: 7
train size: 991, validate size: 124, test size: 125
Epoch: 0 | Train Accuracy: 0.49445006251335144 | Train Loss: 23.318942546844482
Epoch: 0 | Validate Accuracy: 0.49193549156188965 | Validate Loss (NORMALIZED): 46.17053795341523
Epoch: 0 | Test Accuracy: 0.5040000081062317 | Test Loss (NORMALIZED): 45.74499222803116
Epoch: 1 | Train Accuracy: 0.5196771025657654 | Train Loss: 22.954351603984833
Epoch: 1 | Validate Accuracy: 0.5403226017951965 | Validate Loss (NORMALIZED): 45.912175062683325
Epoch: 1 | Test Accuracy: 0.5360000133514404 | Test Loss (NORMALIZED): 45.74183609580994
Epoch: 2 | Train Accuracy: 0.4994954466819763 | Train Loss: 22.94920426607132
Epoch: 2 | Validate Accuracy: 0.5403226017951965 | Validate Loss (NORMALIZED): 45.83200331512959
Epoch: 2 | Test Accuracy: 0.527999997138977 | Test Loss (NORMALIZED): 45.380166214466094
Epoch: 3 | Train Accuracy: 0.5247225165367126 | Train Loss: 22.830064952373505
Epoch: 3 | Validate Accuracy: 0.5161290168762207 | Validate Loss (NORMALIZED): 46.04852400575915
Epoch: 3 | Test Accuracy: 0.5600000023841858 | Test Loss (NORMALIZED): 45.606674816131594
Epoch: 4 | Train Accuracy: 0.5418769121170044 | Train Loss: 22.291364312171936
Epoch: 4 | Validate Accuracy: 0.5483871102333069 | Validate Loss (NORMALIZED): 45.98716119364385
Epoch: 4 | Test Accuracy: 0.5759999752044678 | Test Loss (NORMALIZED): 45.15058323097229
Epoch: 5 | Train Accuracy: 0.5418769121170044 | Train Loss: 22.21570485830307
Epoch: 5 | Validate Accuracy: 0.49193549156188965 | Validate Loss (NORMALIZED): 46.31052673632099
Epoch: 5 | Test Accuracy: 0.4959999918937683 | Test Loss (NORMALIZED): 46.61577473115921
Epoch: 6 | Train Accuracy: 0.5438950657844543 | Train Loss: 22.21756863594055
Epoch: 6 | Validate Accuracy: 0.5403226017951965 | Validate Loss (NORMALIZED): 45.12515985340841
Epoch: 6 | Test Accuracy: 0.5440000295639038 | Test Loss (NORMALIZED): 45.55319068479538
Epoch: 7 | Train Accuracy: 0.5297679305076599 | Train Loss: 22.266911566257477
Epoch: 7 | Validate Accuracy: 0.5483871102333069 | Validate Loss (NORMALIZED): 45.40603296939404
Epoch: 7 | Test Accuracy: 0.5440000295639038 | Test Loss (NORMALIZED): 45.381268663406374
Epoch: 8 | Train Accuracy: 0.5681130290031433 | Train Loss: 21.85844224691391
Epoch: 8 | Validate Accuracy: 0.6370967626571655 | Validate Loss (NORMALIZED): 44.920974890070575
Epoch: 8 | Test Accuracy: 0.5519999861717224 | Test Loss (NORMALIZED): 44.879815533638
Epoch: 9 | Train Accuracy: 0.5681130290031433 | Train Loss: 21.956537127494812
Epoch: 9 | Validate Accuracy: 0.6048387289047241 | Validate Loss (NORMALIZED): 44.85929720632492
Epoch: 9 | Test Accuracy: 0.5199999809265137 | Test Loss (NORMALIZED): 44.97287394332886
Epoch: 10 | Train Accuracy: 0.5681130290031433 | Train Loss: 21.777239441871643
Epoch: 10 | Validate Accuracy: 0.5806451439857483 | Validate Loss (NORMALIZED): 45.18749729087276
Epoch: 10 | Test Accuracy: 0.5519999861717224 | Test Loss (NORMALIZED): 44.8506967997551
Epoch: 11 | Train Accuracy: 0.5741674900054932 | Train Loss: 21.783895194530487
Epoch: 11 | Validate Accuracy: 0.5564516186714172 | Validate Loss (NORMALIZED): 45.00324736968164
Epoch: 11 | Test Accuracy: 0.5839999914169312 | Test Loss (NORMALIZED): 45.20385613441467
Epoch: 12 | Train Accuracy: 0.5792129039764404 | Train Loss: 21.339664220809937
Epoch: 12 | Validate Accuracy: 0.5483871102333069 | Validate Loss (NORMALIZED): 44.78509753990558
Epoch: 12 | Test Accuracy: 0.5120000243186951 | Test Loss (NORMALIZED): 45.14191438150406
Epoch: 13 | Train Accuracy: 0.6195761561393738 | Train Loss: 21.33318930864334
Epoch: 13 | Validate Accuracy: 0.5403226017951965 | Validate Loss (NORMALIZED): 44.56228751472889
Epoch: 13 | Test Accuracy: 0.47999998927116394 | Test Loss (NORMALIZED): 45.94247140693665
Epoch: 14 | Train Accuracy: 0.6084762811660767 | Train Loss: 20.91388964653015
Epoch: 14 | Validate Accuracy: 0.5645161271095276 | Validate Loss (NORMALIZED): 44.80054149320049
Epoch: 14 | Test Accuracy: 0.527999997138977 | Test Loss (NORMALIZED): 44.61159958267212
Epoch: 15 | Train Accuracy: 0.6226034164428711 | Train Loss: 20.63422393798828
Epoch: 15 | Validate Accuracy: 0.5483871102333069 | Validate Loss (NORMALIZED): 44.37924325177747
Epoch: 15 | Test Accuracy: 0.5680000185966492 | Test Loss (NORMALIZED): 44.606115218162536
Epoch: 16 | Train Accuracy: 0.6528759002685547 | Train Loss: 20.343121111392975
Epoch: 16 | Validate Accuracy: 0.5967742204666138 | Validate Loss (NORMALIZED): 43.87513424792598
Epoch: 16 | Test Accuracy: 0.5680000185966492 | Test Loss (NORMALIZED): 44.54252664375305
Epoch: 17 | Train Accuracy: 0.6296669840812683 | Train Loss: 20.364080131053925
Epoch: 17 | Validate Accuracy: 0.5967742204666138 | Validate Loss (NORMALIZED): 44.368556670604214
Epoch: 17 | Test Accuracy: 0.5759999752044678 | Test Loss (NORMALIZED): 44.177298966407776
Epoch: 18 | Train Accuracy: 0.6448032259941101 | Train Loss: 19.89802896976471
Epoch: 18 | Validate Accuracy: 0.5887096524238586 | Validate Loss (NORMALIZED): 43.978509319405404
Epoch: 18 | Test Accuracy: 0.5920000076293945 | Test Loss (NORMALIZED): 43.409924567222596
Epoch: 19 | Train Accuracy: 0.6871846914291382 | Train Loss: 19.44471764564514
Epoch: 19 | Validate Accuracy: 0.5887096524238586 | Validate Loss (NORMALIZED): 44.029178405000316
Epoch: 19 | Test Accuracy: 0.6399999856948853 | Test Loss (NORMALIZED): 45.00338007116318
Epoch: 20 | Train Accuracy: 0.6518667936325073 | Train Loss: 19.87962430715561
Epoch: 20 | Validate Accuracy: 0.6129032373428345 | Validate Loss (NORMALIZED): 43.98570801846443
Epoch: 20 | Test Accuracy: 0.6000000238418579 | Test Loss (NORMALIZED): 43.6887666516304
Epoch: 21 | Train Accuracy: 0.6559031009674072 | Train Loss: 19.763420403003693
Epoch: 21 | Validate Accuracy: 0.6048387289047241 | Validate Loss (NORMALIZED): 44.42077772559659
Epoch: 21 | Test Accuracy: 0.5839999914169312 | Test Loss (NORMALIZED): 43.49917662191391
Epoch: 22 | Train Accuracy: 0.6851664781570435 | Train Loss: 18.733664631843567
Epoch: 22 | Validate Accuracy: 0.5645161271095276 | Validate Loss (NORMALIZED): 44.25060985453667
Epoch: 22 | Test Accuracy: 0.6159999966621399 | Test Loss (NORMALIZED): 44.06586987304687
Epoch: 23 | Train Accuracy: 0.6740666031837463 | Train Loss: 19.48867580294609
Epoch: 23 | Validate Accuracy: 0.6048387289047241 | Validate Loss (NORMALIZED): 45.49647067535308
Epoch: 23 | Test Accuracy: 0.6159999966621399 | Test Loss (NORMALIZED): 45.12437348794937
Epoch: 24 | Train Accuracy: 0.657921314239502 | Train Loss: 19.395966857671738
Epoch: 24 | Validate Accuracy: 0.5322580933570862 | Validate Loss (NORMALIZED): 46.227585452218214
Epoch: 24 | Test Accuracy: 0.6240000128746033 | Test Loss (NORMALIZED): 43.72904927587509
Epoch: 25 | Train Accuracy: 0.6871846914291382 | Train Loss: 18.95842957496643
Epoch: 25 | Validate Accuracy: 0.6209677457809448 | Validate Loss (NORMALIZED): 43.853021303972895
Epoch: 25 | Test Accuracy: 0.6240000128746033 | Test Loss (NORMALIZED): 43.43154022169113
Epoch: 26 | Train Accuracy: 0.7073662877082825 | Train Loss: 18.61808604001999
Epoch: 26 | Validate Accuracy: 0.6048387289047241 | Validate Loss (NORMALIZED): 45.214899697130726
Epoch: 26 | Test Accuracy: 0.6320000290870667 | Test Loss (NORMALIZED): 44.31344455862045
Epoch: 27 | Train Accuracy: 0.6942482590675354 | Train Loss: 18.431536316871643
Epoch: 27 | Validate Accuracy: 0.6048387289047241 | Validate Loss (NORMALIZED): 44.686232135180504
Epoch: 27 | Test Accuracy: 0.656000018119812 | Test Loss (NORMALIZED): 44.03465303659439
Epoch: 28 | Train Accuracy: 0.7013118267059326 | Train Loss: 18.545972049236298
Epoch: 28 | Validate Accuracy: 0.5322580933570862 | Validate Loss (NORMALIZED): 49.16474898688255
Epoch: 28 | Test Accuracy: 0.656000018119812 | Test Loss (NORMALIZED): 42.68682958316803
Epoch: 29 | Train Accuracy: 0.7063572406768799 | Train Loss: 18.295045405626297
Epoch: 29 | Validate Accuracy: 0.5887096524238586 | Validate Loss (NORMALIZED): 45.66103325976479
Epoch: 29 | Test Accuracy: 0.6480000019073486 | Test Loss (NORMALIZED): 43.5569724957943
Epoch: 30 | Train Accuracy: 0.717457115650177 | Train Loss: 17.982864409685135
Epoch: 30 | Validate Accuracy: 0.5725806355476379 | Validate Loss (NORMALIZED): 46.51367467161148
Epoch: 30 | Test Accuracy: 0.6320000290870667 | Test Loss (NORMALIZED): 43.32496251797676
Epoch: 31 | Train Accuracy: 0.7073662877082825 | Train Loss: 17.800265103578568
Epoch: 31 | Validate Accuracy: 0.5967742204666138 | Validate Loss (NORMALIZED): 44.90276806921728
Epoch: 31 | Test Accuracy: 0.6480000019073486 | Test Loss (NORMALIZED): 44.37800893974304
Epoch: 32 | Train Accuracy: 0.6942482590675354 | Train Loss: 18.238894015550613
Epoch: 32 | Validate Accuracy: 0.5725806355476379 | Validate Loss (NORMALIZED): 46.40887195977473
Epoch: 32 | Test Accuracy: 0.671999990940094 | Test Loss (NORMALIZED): 43.68979656481743
Epoch: 33 | Train Accuracy: 0.7275479435920715 | Train Loss: 17.422958344221115
Epoch: 33 | Validate Accuracy: 0.6290322542190552 | Validate Loss (NORMALIZED): 45.14126546584791
Epoch: 33 | Test Accuracy: 0.6639999747276306 | Test Loss (NORMALIZED): 43.76807989048958
Epoch: 34 | Train Accuracy: 0.7457113862037659 | Train Loss: 17.08114418387413
Epoch: 34 | Validate Accuracy: 0.6370967626571655 | Validate Loss (NORMALIZED): 44.73661445417712
Epoch: 34 | Test Accuracy: 0.6800000071525574 | Test Loss (NORMALIZED): 44.47460199069977
Epoch: 35 | Train Accuracy: 0.7366296648979187 | Train Loss: 17.062499314546585
Epoch: 35 | Validate Accuracy: 0.5806451439857483 | Validate Loss (NORMALIZED): 44.47037739090381
Epoch: 35 | Test Accuracy: 0.6480000019073486 | Test Loss (NORMALIZED): 43.27350064563751
Epoch: 36 | Train Accuracy: 0.7285569906234741 | Train Loss: 17.560130059719086
Epoch: 36 | Validate Accuracy: 0.6129032373428345 | Validate Loss (NORMALIZED): 44.59064811203749
Epoch: 36 | Test Accuracy: 0.6639999747276306 | Test Loss (NORMALIZED): 43.61407065606117
Epoch: 37 | Train Accuracy: 0.7588294744491577 | Train Loss: 16.75217843055725
Epoch: 37 | Validate Accuracy: 0.6129032373428345 | Validate Loss (NORMALIZED): 45.41374375166432
Epoch: 37 | Test Accuracy: 0.671999990940094 | Test Loss (NORMALIZED): 43.52143635606766
Epoch: 38 | Train Accuracy: 0.7447023391723633 | Train Loss: 16.955200135707855
Epoch: 38 | Validate Accuracy: 0.6370967626571655 | Validate Loss (NORMALIZED): 45.73870580306938
Epoch: 38 | Test Accuracy: 0.6959999799728394 | Test Loss (NORMALIZED): 43.01262120175362
Epoch: 39 | Train Accuracy: 0.7648839354515076 | Train Loss: 16.09267285466194
Epoch: 39 | Validate Accuracy: 0.5967742204666138 | Validate Loss (NORMALIZED): 46.65366250180429
Epoch: 39 | Test Accuracy: 0.6480000019073486 | Test Loss (NORMALIZED): 45.33511158823967
Epoch: 40 | Train Accuracy: 0.7376387715339661 | Train Loss: 16.35553202033043
Epoch: 40 | Validate Accuracy: 0.6048387289047241 | Validate Loss (NORMALIZED): 45.26847884443499
Epoch: 40 | Test Accuracy: 0.6800000071525574 | Test Loss (NORMALIZED): 42.99030074548721
Epoch: 41 | Train Accuracy: 0.7810292840003967 | Train Loss: 15.513070613145828
Epoch: 41 | Validate Accuracy: 0.5967742204666138 | Validate Loss (NORMALIZED): 45.2012782837114
Epoch: 41 | Test Accuracy: 0.6959999799728394 | Test Loss (NORMALIZED): 44.592942536354066
Epoch: 42 | Train Accuracy: 0.7598385214805603 | Train Loss: 15.997857362031937
Epoch: 42 | Validate Accuracy: 0.6370967626571655 | Validate Loss (NORMALIZED): 46.515400987479
Epoch: 42 | Test Accuracy: 0.656000018119812 | Test Loss (NORMALIZED): 42.46259628868103
Epoch: 43 | Train Accuracy: 0.761856734752655 | Train Loss: 15.551221787929535
Epoch: 43 | Validate Accuracy: 0.6451612710952759 | Validate Loss (NORMALIZED): 48.91019456617294
Epoch: 43 | Test Accuracy: 0.6240000128746033 | Test Loss (NORMALIZED): 48.49827009034157
Epoch: 44 | Train Accuracy: 0.7739657163619995 | Train Loss: 15.570407181978226
Epoch: 44 | Validate Accuracy: 0.6129032373428345 | Validate Loss (NORMALIZED): 46.21083413857606
Epoch: 44 | Test Accuracy: 0.6639999747276306 | Test Loss (NORMALIZED): 43.38894992089271
Epoch: 45 | Train Accuracy: 0.7699293494224548 | Train Loss: 15.50768581032753
Epoch: 45 | Validate Accuracy: 0.6048387289047241 | Validate Loss (NORMALIZED): 45.11468382179737
Epoch: 45 | Test Accuracy: 0.6959999799728394 | Test Loss (NORMALIZED): 44.53490424656868
Epoch: 46 | Train Accuracy: 0.7961654663085938 | Train Loss: 14.874544352293015
Epoch: 46 | Validate Accuracy: 0.6451612710952759 | Validate Loss (NORMALIZED): 44.72839468501268
Epoch: 46 | Test Accuracy: 0.6480000019073486 | Test Loss (NORMALIZED): 47.29649702167511
Epoch: 47 | Train Accuracy: 0.7870837450027466 | Train Loss: 14.534418940544128
Epoch: 47 | Validate Accuracy: 0.6290322542190552 | Validate Loss (NORMALIZED): 46.14671774785365
Epoch: 47 | Test Accuracy: 0.6320000290870667 | Test Loss (NORMALIZED): 49.38519711470604
Epoch: 48 | Train Accuracy: 0.7850655913352966 | Train Loss: 15.051023691892624
Epoch: 48 | Validate Accuracy: 0.6209677457809448 | Validate Loss (NORMALIZED): 46.759938346041785
Epoch: 48 | Test Accuracy: 0.6399999856948853 | Test Loss (NORMALIZED): 46.55426866531372
Epoch: 49 | Train Accuracy: 0.803229033946991 | Train Loss: 14.228775382041931
Epoch: 49 | Validate Accuracy: 0.6451612710952759 | Validate Loss (NORMALIZED): 47.22203699595505
Epoch: 49 | Test Accuracy: 0.6240000128746033 | Test Loss (NORMALIZED): 49.178405951738355
Epoch: 50 | Train Accuracy: 0.8082744479179382 | Train Loss: 13.715234130620956
Epoch: 50 | Validate Accuracy: 0.6532257795333862 | Validate Loss (NORMALIZED): 47.49328032760851
Epoch: 50 | Test Accuracy: 0.6800000071525574 | Test Loss (NORMALIZED): 48.903430944442746
Epoch: 51 | Train Accuracy: 0.8092835545539856 | Train Loss: 13.829536527395248
Epoch: 51 | Validate Accuracy: 0.5725806355476379 | Validate Loss (NORMALIZED): 49.4628781161962
Epoch: 51 | Test Accuracy: 0.6000000238418579 | Test Loss (NORMALIZED): 46.67352429556846
Epoch: 52 | Train Accuracy: 0.8213925361633301 | Train Loss: 13.130892917513847
Epoch: 52 | Validate Accuracy: 0.6612903475761414 | Validate Loss (NORMALIZED): 46.48115143324098
Epoch: 52 | Test Accuracy: 0.6320000290870667 | Test Loss (NORMALIZED): 47.315858160972596
Epoch: 53 | Train Accuracy: 0.8082744479179382 | Train Loss: 13.382210701704025
Epoch: 53 | Validate Accuracy: 0.5967742204666138 | Validate Loss (NORMALIZED): 49.50668123773029
Epoch: 53 | Test Accuracy: 0.6639999747276306 | Test Loss (NORMALIZED): 43.546978628396985
Epoch: 54 | Train Accuracy: 0.82341068983078 | Train Loss: 12.497245997190475
Epoch: 54 | Validate Accuracy: 0.6532257795333862 | Validate Loss (NORMALIZED): 49.817490261889276
Epoch: 54 | Test Accuracy: 0.671999990940094 | Test Loss (NORMALIZED): 47.45206447529793
Epoch: 55 | Train Accuracy: 0.8546922206878662 | Train Loss: 11.353677362203598
Epoch: 55 | Validate Accuracy: 0.6451612710952759 | Validate Loss (NORMALIZED): 53.88335474220015
Epoch: 55 | Test Accuracy: 0.6399999856948853 | Test Loss (NORMALIZED): 51.685926538944244
Epoch: 56 | Train Accuracy: 0.8385469317436218 | Train Loss: 12.043188765645027
Epoch: 56 | Validate Accuracy: 0.6290322542190552 | Validate Loss (NORMALIZED): 47.848556990585024
Epoch: 56 | Test Accuracy: 0.5680000185966492 | Test Loss (NORMALIZED): 48.47852240872383
Epoch: 57 | Train Accuracy: 0.8294652104377747 | Train Loss: 12.187366470694542
Epoch: 57 | Validate Accuracy: 0.6854838728904724 | Validate Loss (NORMALIZED): 52.12575583039753
Epoch: 57 | Test Accuracy: 0.6240000128746033 | Test Loss (NORMALIZED): 49.295165123462674
Epoch: 58 | Train Accuracy: 0.8435923457145691 | Train Loss: 11.551415205001831
Epoch: 58 | Validate Accuracy: 0.6370967626571655 | Validate Loss (NORMALIZED): 52.27858527845913
Epoch: 58 | Test Accuracy: 0.6480000019073486 | Test Loss (NORMALIZED): 45.9216028470993
Epoch: 59 | Train Accuracy: 0.8486377596855164 | Train Loss: 11.239136785268784
Epoch: 59 | Validate Accuracy: 0.5967742204666138 | Validate Loss (NORMALIZED): 54.45730475071938
Epoch: 59 | Test Accuracy: 0.6399999856948853 | Test Loss (NORMALIZED): 43.593254312515256
Epoch: 60 | Train Accuracy: 0.849646806716919 | Train Loss: 10.928832814097404
Epoch: 60 | Validate Accuracy: 0.6290322542190552 | Validate Loss (NORMALIZED): 51.243246391175255
Epoch: 60 | Test Accuracy: 0.656000018119812 | Test Loss (NORMALIZED): 49.359157251834866
Epoch: 61 | Train Accuracy: 0.8526740670204163 | Train Loss: 11.622616529464722
Epoch: 61 | Validate Accuracy: 0.6370967626571655 | Validate Loss (NORMALIZED): 51.22075402928937
Epoch: 61 | Test Accuracy: 0.7120000123977661 | Test Loss (NORMALIZED): 44.43257201087475
Epoch: 62 | Train Accuracy: 0.8597376346588135 | Train Loss: 11.030470699071884
Epoch: 62 | Validate Accuracy: 0.6370967626571655 | Validate Loss (NORMALIZED): 53.085810149388934
Epoch: 62 | Test Accuracy: 0.6399999856948853 | Test Loss (NORMALIZED): 50.64654117488861
Epoch: 63 | Train Accuracy: 0.8637739419937134 | Train Loss: 10.82157526910305
Epoch: 63 | Validate Accuracy: 0.6693548560142517 | Validate Loss (NORMALIZED): 54.159258507432476
Epoch: 63 | Test Accuracy: 0.6399999856948853 | Test Loss (NORMALIZED): 53.016240523099896
Epoch: 64 | Train Accuracy: 0.8607467412948608 | Train Loss: 10.876639917492867
Epoch: 64 | Validate Accuracy: 0.5967742204666138 | Validate Loss (NORMALIZED): 54.73761338428144
Epoch: 64 | Test Accuracy: 0.6480000019073486 | Test Loss (NORMALIZED): 55.139025804519655
Epoch: 65 | Train Accuracy: 0.8809283375740051 | Train Loss: 9.549536228179932
Epoch: 65 | Validate Accuracy: 0.6209677457809448 | Validate Loss (NORMALIZED): 55.62347446766592
Epoch: 65 | Test Accuracy: 0.6959999799728394 | Test Loss (NORMALIZED): 47.946994112730025
Epoch: 66 | Train Accuracy: 0.8768920302391052 | Train Loss: 9.341781839728355
Epoch: 66 | Validate Accuracy: 0.6532257795333862 | Validate Loss (NORMALIZED): 53.742717161774635
Epoch: 66 | Test Accuracy: 0.656000018119812 | Test Loss (NORMALIZED): 50.43022136569023
Epoch: 67 | Train Accuracy: 0.8839555978775024 | Train Loss: 9.047869995236397
Epoch: 67 | Validate Accuracy: 0.6370967626571655 | Validate Loss (NORMALIZED): 55.397166080532536
Epoch: 67 | Test Accuracy: 0.6399999856948853 | Test Loss (NORMALIZED): 54.4833016500473
Epoch: 68 | Train Accuracy: 0.8829464912414551 | Train Loss: 9.221334248781204
Epoch: 68 | Validate Accuracy: 0.6209677457809448 | Validate Loss (NORMALIZED): 62.661985323794426
Epoch: 68 | Test Accuracy: 0.6800000071525574 | Test Loss (NORMALIZED): 51.348040351390836
Epoch: 69 | Train Accuracy: 0.8809283375740051 | Train Loss: 9.740879654884338
