use one gpu
using features: ['si']
using fold: 1
train size: 991, validate size: 124, test size: 125
Epoch: 0 | Train Accuracy: 0.6084762811660767 | Train Loss: 20.877561211586
Epoch: 0 | Validate Accuracy: 0.6693548560142517 | Validate Loss (NORMALIZED): 44.71126895518072
Epoch: 0 | Test Accuracy: 0.5920000076293945 | Test Loss (NORMALIZED): 44.47387852334976
Epoch: 1 | Train Accuracy: 0.624621570110321 | Train Loss: 20.363719522953033
Epoch: 1 | Validate Accuracy: 0.6774193644523621 | Validate Loss (NORMALIZED): 43.05726495337102
Epoch: 1 | Test Accuracy: 0.5920000076293945 | Test Loss (NORMALIZED): 43.42244749879837
Epoch: 2 | Train Accuracy: 0.6458123326301575 | Train Loss: 20.15866595506668
Epoch: 2 | Validate Accuracy: 0.6774193644523621 | Validate Loss (NORMALIZED): 40.599221714561985
Epoch: 2 | Test Accuracy: 0.6079999804496765 | Test Loss (NORMALIZED): 42.41064556789398
Epoch: 3 | Train Accuracy: 0.6437941193580627 | Train Loss: 19.985356509685516
Epoch: 3 | Validate Accuracy: 0.6774193644523621 | Validate Loss (NORMALIZED): 39.29534234226711
Epoch: 3 | Test Accuracy: 0.6079999804496765 | Test Loss (NORMALIZED): 42.11278730249405
Epoch: 4 | Train Accuracy: 0.6478304862976074 | Train Loss: 19.911250174045563
Epoch: 4 | Validate Accuracy: 0.6774193644523621 | Validate Loss (NORMALIZED): 39.15069169671305
Epoch: 4 | Test Accuracy: 0.5920000076293945 | Test Loss (NORMALIZED): 42.18305483675003
Epoch: 5 | Train Accuracy: 0.6508577466011047 | Train Loss: 19.819831013679504
Epoch: 5 | Validate Accuracy: 0.6774193644523621 | Validate Loss (NORMALIZED): 38.760921108626555
Epoch: 5 | Test Accuracy: 0.6320000290870667 | Test Loss (NORMALIZED): 41.68256097459793
Epoch: 6 | Train Accuracy: 0.6548940539360046 | Train Loss: 19.695150315761566
Epoch: 6 | Validate Accuracy: 0.6612903475761414 | Validate Loss (NORMALIZED): 38.50338326731036
Epoch: 6 | Test Accuracy: 0.6480000019073486 | Test Loss (NORMALIZED): 41.42082244277
Epoch: 7 | Train Accuracy: 0.6619576215744019 | Train Loss: 19.55207532644272
Epoch: 7 | Validate Accuracy: 0.6532257795333862 | Validate Loss (NORMALIZED): 38.59630112325953
Epoch: 7 | Test Accuracy: 0.671999990940094 | Test Loss (NORMALIZED): 41.394099751472474
Epoch: 8 | Train Accuracy: 0.6548940539360046 | Train Loss: 19.510085940361023
Epoch: 8 | Validate Accuracy: 0.6532257795333862 | Validate Loss (NORMALIZED): 38.553550511358246
Epoch: 8 | Test Accuracy: 0.671999990940094 | Test Loss (NORMALIZED): 41.00453880977631
Epoch: 9 | Train Accuracy: 0.6680120825767517 | Train Loss: 19.43368062376976
Epoch: 9 | Validate Accuracy: 0.6451612710952759 | Validate Loss (NORMALIZED): 38.57709276291632
Epoch: 9 | Test Accuracy: 0.6639999747276306 | Test Loss (NORMALIZED): 40.99509356784821
Epoch: 10 | Train Accuracy: 0.6690211892127991 | Train Loss: 19.396700084209442
Epoch: 10 | Validate Accuracy: 0.6532257795333862 | Validate Loss (NORMALIZED): 38.01082828977416
Epoch: 10 | Test Accuracy: 0.671999990940094 | Test Loss (NORMALIZED): 40.4029532623291
Epoch: 11 | Train Accuracy: 0.64883953332901 | Train Loss: 19.471297204494476
Epoch: 11 | Validate Accuracy: 0.6451612710952759 | Validate Loss (NORMALIZED): 38.31516767846
Epoch: 11 | Test Accuracy: 0.6639999747276306 | Test Loss (NORMALIZED): 40.76772280669212
Epoch: 12 | Train Accuracy: 0.6629667282104492 | Train Loss: 19.439928114414215
Epoch: 12 | Validate Accuracy: 0.6612903475761414 | Validate Loss (NORMALIZED): 37.97244920124931
Epoch: 12 | Test Accuracy: 0.6639999747276306 | Test Loss (NORMALIZED): 40.79235306596756
Epoch: 13 | Train Accuracy: 0.6649848818778992 | Train Loss: 19.321631729602814
Epoch: 13 | Validate Accuracy: 0.6532257795333862 | Validate Loss (NORMALIZED): 38.11565434307821
Epoch: 13 | Test Accuracy: 0.6639999747276306 | Test Loss (NORMALIZED): 40.43691842412949
Epoch: 14 | Train Accuracy: 0.671039342880249 | Train Loss: 19.410759925842285
Epoch: 14 | Validate Accuracy: 0.6532257795333862 | Validate Loss (NORMALIZED): 37.84880516173378
Epoch: 14 | Test Accuracy: 0.671999990940094 | Test Loss (NORMALIZED): 40.43086724114418
Epoch: 15 | Train Accuracy: 0.6740666031837463 | Train Loss: 19.236749947071075
Epoch: 15 | Validate Accuracy: 0.6693548560142517 | Validate Loss (NORMALIZED): 38.0880089950177
Epoch: 15 | Test Accuracy: 0.671999990940094 | Test Loss (NORMALIZED): 40.72255618715286
Epoch: 16 | Train Accuracy: 0.6639757752418518 | Train Loss: 19.312586724758148
Epoch: 16 | Validate Accuracy: 0.6532257795333862 | Validate Loss (NORMALIZED): 37.949493106334444
Epoch: 16 | Test Accuracy: 0.6800000071525574 | Test Loss (NORMALIZED): 40.55284662437439
Epoch: 17 | Train Accuracy: 0.671039342880249 | Train Loss: 19.258686065673828
Epoch: 17 | Validate Accuracy: 0.6612903475761414 | Validate Loss (NORMALIZED): 38.494140998971076
Epoch: 17 | Test Accuracy: 0.6639999747276306 | Test Loss (NORMALIZED): 40.61117812871933
Epoch: 18 | Train Accuracy: 0.6770938634872437 | Train Loss: 19.216637134552002
Epoch: 18 | Validate Accuracy: 0.6693548560142517 | Validate Loss (NORMALIZED): 38.03960641353361
Epoch: 18 | Test Accuracy: 0.6880000233650208 | Test Loss (NORMALIZED): 40.34693203353882
Epoch: 19 | Train Accuracy: 0.6720484495162964 | Train Loss: 19.281636476516724
Epoch: 19 | Validate Accuracy: 0.6532257795333862 | Validate Loss (NORMALIZED): 38.148334302729175
Epoch: 19 | Test Accuracy: 0.6800000071525574 | Test Loss (NORMALIZED): 40.30878177142143
Epoch: 20 | Train Accuracy: 0.6760847568511963 | Train Loss: 19.221469581127167
Epoch: 20 | Validate Accuracy: 0.6612903475761414 | Validate Loss (NORMALIZED): 37.95510339472563
Epoch: 20 | Test Accuracy: 0.6639999747276306 | Test Loss (NORMALIZED): 40.79028378868103
Epoch: 21 | Train Accuracy: 0.6690211892127991 | Train Loss: 19.23328936100006
Epoch: 21 | Validate Accuracy: 0.6693548560142517 | Validate Loss (NORMALIZED): 38.2577400471895
Epoch: 21 | Test Accuracy: 0.6639999747276306 | Test Loss (NORMALIZED): 40.72299234676361
Epoch: 22 | Train Accuracy: 0.6680120825767517 | Train Loss: 19.271807074546814
Epoch: 22 | Validate Accuracy: 0.6693548560142517 | Validate Loss (NORMALIZED): 37.75484384692484
Epoch: 22 | Test Accuracy: 0.671999990940094 | Test Loss (NORMALIZED): 40.320096167564394
Epoch: 23 | Train Accuracy: 0.6760847568511963 | Train Loss: 19.03329935669899
Epoch: 23 | Validate Accuracy: 0.6693548560142517 | Validate Loss (NORMALIZED): 37.95589009744506
Epoch: 23 | Test Accuracy: 0.6639999747276306 | Test Loss (NORMALIZED): 40.58532681155205
Epoch: 24 | Train Accuracy: 0.6861755847930908 | Train Loss: 18.883358895778656
Epoch: 24 | Validate Accuracy: 0.6693548560142517 | Validate Loss (NORMALIZED): 37.48093934982054
Epoch: 24 | Test Accuracy: 0.6480000019073486 | Test Loss (NORMALIZED): 40.353299585819244
Epoch: 25 | Train Accuracy: 0.6619576215744019 | Train Loss: 19.014057755470276
Epoch: 25 | Validate Accuracy: 0.6935483813285828 | Validate Loss (NORMALIZED): 36.96495049182446
Epoch: 25 | Test Accuracy: 0.6800000071525574 | Test Loss (NORMALIZED): 40.245347955703735
Epoch: 26 | Train Accuracy: 0.673057496547699 | Train Loss: 18.98210796713829
Epoch: 26 | Validate Accuracy: 0.6935483813285828 | Validate Loss (NORMALIZED): 36.65169918801516
Epoch: 26 | Test Accuracy: 0.6800000071525574 | Test Loss (NORMALIZED): 39.922602838754656
Epoch: 27 | Train Accuracy: 0.6861755847930908 | Train Loss: 18.796485364437103
Epoch: 27 | Validate Accuracy: 0.6693548560142517 | Validate Loss (NORMALIZED): 38.03533945040357
Epoch: 27 | Test Accuracy: 0.6480000019073486 | Test Loss (NORMALIZED): 39.62065067434311
Epoch: 28 | Train Accuracy: 0.6902118921279907 | Train Loss: 18.188653826713562
Epoch: 28 | Validate Accuracy: 0.725806474685669 | Validate Loss (NORMALIZED): 36.58993909459922
Epoch: 28 | Test Accuracy: 0.7279999852180481 | Test Loss (NORMALIZED): 37.06935889482498
Epoch: 29 | Train Accuracy: 0.719475269317627 | Train Loss: 17.988972932100296
Epoch: 29 | Validate Accuracy: 0.7580645084381104 | Validate Loss (NORMALIZED): 35.49885911614664
Epoch: 29 | Test Accuracy: 0.7279999852180481 | Test Loss (NORMALIZED): 36.32283864283562
Epoch: 30 | Train Accuracy: 0.7336024045944214 | Train Loss: 17.391099959611893
Epoch: 30 | Validate Accuracy: 0.7580645084381104 | Validate Loss (NORMALIZED): 34.624866454351334
Epoch: 30 | Test Accuracy: 0.7440000176429749 | Test Loss (NORMALIZED): 35.514543446540834
Epoch: 31 | Train Accuracy: 0.7336024045944214 | Train Loss: 17.250541418790817
Epoch: 31 | Validate Accuracy: 0.7661290168762207 | Validate Loss (NORMALIZED): 33.370393584812845
Epoch: 31 | Test Accuracy: 0.7360000014305115 | Test Loss (NORMALIZED): 35.087056938171386
Epoch: 32 | Train Accuracy: 0.7366296648979187 | Train Loss: 16.580752104520798
Epoch: 32 | Validate Accuracy: 0.7338709831237793 | Validate Loss (NORMALIZED): 36.664559621964735
Epoch: 32 | Test Accuracy: 0.6480000019073486 | Test Loss (NORMALIZED): 38.63065696024895
Epoch: 33 | Train Accuracy: 0.7537840604782104 | Train Loss: 16.338089138269424
Epoch: 33 | Validate Accuracy: 0.774193525314331 | Validate Loss (NORMALIZED): 31.156953441760233
Epoch: 33 | Test Accuracy: 0.7200000286102295 | Test Loss (NORMALIZED): 33.75802969574928
Epoch: 34 | Train Accuracy: 0.7497477531433105 | Train Loss: 16.0880289375782
Epoch: 34 | Validate Accuracy: 0.75 | Validate Loss (NORMALIZED): 31.928371310955093
Epoch: 34 | Test Accuracy: 0.7120000123977661 | Test Loss (NORMALIZED): 33.79169455480576
Epoch: 35 | Train Accuracy: 0.7467204928398132 | Train Loss: 15.937312602996826
Epoch: 35 | Validate Accuracy: 0.5806451439857483 | Validate Loss (NORMALIZED): 45.23696643450568
Epoch: 35 | Test Accuracy: 0.5600000023841858 | Test Loss (NORMALIZED): 48.80601046609878
Epoch: 36 | Train Accuracy: 0.761856734752655 | Train Loss: 16.06583148241043
Epoch: 36 | Validate Accuracy: 0.774193525314331 | Validate Loss (NORMALIZED): 31.553297511031552
Epoch: 36 | Test Accuracy: 0.7360000014305115 | Test Loss (NORMALIZED): 34.88207302594185
Epoch: 37 | Train Accuracy: 0.7558022141456604 | Train Loss: 15.844384610652924
Epoch: 37 | Validate Accuracy: 0.7661290168762207 | Validate Loss (NORMALIZED): 31.18799437786783
Epoch: 37 | Test Accuracy: 0.7120000123977661 | Test Loss (NORMALIZED): 33.08962548828125
Epoch: 38 | Train Accuracy: 0.7628657817840576 | Train Loss: 15.789104610681534
Epoch: 38 | Validate Accuracy: 0.7419354915618896 | Validate Loss (NORMALIZED): 33.71613287661345
Epoch: 38 | Test Accuracy: 0.7360000014305115 | Test Loss (NORMALIZED): 36.142923275947574
Epoch: 39 | Train Accuracy: 0.7558022141456604 | Train Loss: 15.629174798727036
Epoch: 39 | Validate Accuracy: 0.75 | Validate Loss (NORMALIZED): 30.182271644473076
Epoch: 39 | Test Accuracy: 0.7279999852180481 | Test Loss (NORMALIZED): 32.571882529497145
Epoch: 40 | Train Accuracy: 0.7648839354515076 | Train Loss: 15.66308405995369
Epoch: 40 | Validate Accuracy: 0.7822580933570862 | Validate Loss (NORMALIZED): 29.94201601609107
Epoch: 40 | Test Accuracy: 0.7360000014305115 | Test Loss (NORMALIZED): 32.52816827893257
Epoch: 41 | Train Accuracy: 0.7588294744491577 | Train Loss: 15.576131790876389
