use one gpu
using features: ['videos', 'aus', 'si', 'd1da27']
using fold: 1
train size: 991, validate size: 124, test size: 125
Epoch: 0 | Train Accuracy: 0.5933400392532349 | Train Loss: 23.947000741958618
Epoch: 0 | Validate Accuracy: 0.5887096524238586 | Validate Loss (NORMALIZED): 50.004790293593565
Epoch: 0 | Test Accuracy: 0.7039999961853027 | Test Loss (NORMALIZED): 49.250582334041596
Epoch: 1 | Train Accuracy: 0.6791120171546936 | Train Loss: 21.465300500392914
Epoch: 1 | Validate Accuracy: 0.6451612710952759 | Validate Loss (NORMALIZED): 47.010143393951076
Epoch: 1 | Test Accuracy: 0.6639999747276306 | Test Loss (NORMALIZED): 44.7161843252182
Epoch: 2 | Train Accuracy: 0.7507568001747131 | Train Loss: 19.250457257032394
Epoch: 2 | Validate Accuracy: 0.5 | Validate Loss (NORMALIZED): 173.84381489984452
Epoch: 2 | Test Accuracy: 0.5199999809265137 | Test Loss (NORMALIZED): 165.53026910209655
Epoch: 3 | Train Accuracy: 0.7739657163619995 | Train Loss: 18.301202416419983
Epoch: 3 | Validate Accuracy: 0.5322580933570862 | Validate Loss (NORMALIZED): 62.86926303154999
Epoch: 3 | Test Accuracy: 0.5120000243186951 | Test Loss (NORMALIZED): 58.7260222902298
Epoch: 4 | Train Accuracy: 0.739656925201416 | Train Loss: 19.366406619548798
Epoch: 4 | Validate Accuracy: 0.6935483813285828 | Validate Loss (NORMALIZED): 43.55900741825181
Epoch: 4 | Test Accuracy: 0.6880000233650208 | Test Loss (NORMALIZED): 40.22758591079712
Epoch: 5 | Train Accuracy: 0.7840564846992493 | Train Loss: 17.374248683452606
Epoch: 5 | Validate Accuracy: 0.47580644488334656 | Validate Loss (NORMALIZED): 102.34980562617702
Epoch: 5 | Test Accuracy: 0.5199999809265137 | Test Loss (NORMALIZED): 100.92945990991592
Epoch: 6 | Train Accuracy: 0.8072654008865356 | Train Loss: 15.979710876941681
Epoch: 6 | Validate Accuracy: 0.6935483813285828 | Validate Loss (NORMALIZED): 60.34577412927343
Epoch: 6 | Test Accuracy: 0.6639999747276306 | Test Loss (NORMALIZED): 59.617796451330186
Epoch: 7 | Train Accuracy: 0.8224016427993774 | Train Loss: 15.265591830015182
Epoch: 7 | Validate Accuracy: 0.6532257795333862 | Validate Loss (NORMALIZED): 68.83359741876203
Epoch: 7 | Test Accuracy: 0.6480000019073486 | Test Loss (NORMALIZED): 74.09815825366974
Epoch: 8 | Train Accuracy: 0.8355196714401245 | Train Loss: 14.475830316543579
Epoch: 8 | Validate Accuracy: 0.5322580933570862 | Validate Loss (NORMALIZED): 94.79211765816135
Epoch: 8 | Test Accuracy: 0.4959999918937683 | Test Loss (NORMALIZED): 92.30684950351716
Epoch: 9 | Train Accuracy: 0.8294652104377747 | Train Loss: 14.465903252363205
Epoch: 9 | Validate Accuracy: 0.5403226017951965 | Validate Loss (NORMALIZED): 74.23656594464856
Epoch: 9 | Test Accuracy: 0.5440000295639038 | Test Loss (NORMALIZED): 72.05802096557618
Epoch: 10 | Train Accuracy: 0.8546922206878662 | Train Loss: 13.674579590559006
Epoch: 10 | Validate Accuracy: 0.8225806355476379 | Validate Loss (NORMALIZED): 34.55174525899272
Epoch: 10 | Test Accuracy: 0.7839999794960022 | Test Loss (NORMALIZED): 36.90463634228706
Epoch: 11 | Train Accuracy: 0.8536831736564636 | Train Loss: 13.037565976381302
Epoch: 11 | Validate Accuracy: 0.7903226017951965 | Validate Loss (NORMALIZED): 37.7207548248191
Epoch: 11 | Test Accuracy: 0.7680000066757202 | Test Loss (NORMALIZED): 39.950394191980365
Epoch: 12 | Train Accuracy: 0.8809283375740051 | Train Loss: 12.999793767929077
Epoch: 12 | Validate Accuracy: 0.6935483813285828 | Validate Loss (NORMALIZED): 46.76907105239169
Epoch: 12 | Test Accuracy: 0.6480000019073486 | Test Loss (NORMALIZED): 45.2680715405941
Epoch: 13 | Train Accuracy: 0.8597376346588135 | Train Loss: 13.230993866920471
Epoch: 13 | Validate Accuracy: 0.75 | Validate Loss (NORMALIZED): 47.09084961347042
Epoch: 13 | Test Accuracy: 0.7200000286102295 | Test Loss (NORMALIZED): 47.182750564575194
Epoch: 14 | Train Accuracy: 0.8748738765716553 | Train Loss: 11.996117427945137
Epoch: 14 | Validate Accuracy: 0.7419354915618896 | Validate Loss (NORMALIZED): 37.36476029263389
Epoch: 14 | Test Accuracy: 0.7440000176429749 | Test Loss (NORMALIZED): 41.52323205780983
Epoch: 15 | Train Accuracy: 0.8809283375740051 | Train Loss: 11.39516581594944
Epoch: 15 | Validate Accuracy: 0.5322580933570862 | Validate Loss (NORMALIZED): 96.95916187138327
Epoch: 15 | Test Accuracy: 0.5040000081062317 | Test Loss (NORMALIZED): 93.25494141578675
Epoch: 16 | Train Accuracy: 0.8829464912414551 | Train Loss: 11.276710227131844
Epoch: 16 | Validate Accuracy: 0.725806474685669 | Validate Loss (NORMALIZED): 46.41991735646321
Epoch: 16 | Test Accuracy: 0.7279999852180481 | Test Loss (NORMALIZED): 42.16450623965263
Epoch: 17 | Train Accuracy: 0.8980827331542969 | Train Loss: 11.13935399055481
Epoch: 17 | Validate Accuracy: 0.7096773982048035 | Validate Loss (NORMALIZED): 80.3528468531947
Epoch: 17 | Test Accuracy: 0.6800000071525574 | Test Loss (NORMALIZED): 84.6181886639595
Epoch: 18 | Train Accuracy: 0.8900101184844971 | Train Loss: 10.728001415729523
Epoch: 18 | Validate Accuracy: 0.7822580933570862 | Validate Loss (NORMALIZED): 38.947027391003026
Epoch: 18 | Test Accuracy: 0.7360000014305115 | Test Loss (NORMALIZED): 41.84889396262169
Epoch: 19 | Train Accuracy: 0.8910191655158997 | Train Loss: 10.836111560463905
Epoch: 19 | Validate Accuracy: 0.6693548560142517 | Validate Loss (NORMALIZED): 52.66063984435412
Epoch: 19 | Test Accuracy: 0.6639999747276306 | Test Loss (NORMALIZED): 61.92316060304642
Epoch: 20 | Train Accuracy: 0.9243188500404358 | Train Loss: 9.368366599082947
Epoch: 20 | Validate Accuracy: 0.6854838728904724 | Validate Loss (NORMALIZED): 61.789989071988295
Epoch: 20 | Test Accuracy: 0.7200000286102295 | Test Loss (NORMALIZED): 67.38176381540299
Epoch: 21 | Train Accuracy: 0.916246235370636 | Train Loss: 9.597144708037376
Epoch: 21 | Validate Accuracy: 0.7338709831237793 | Validate Loss (NORMALIZED): 44.178575704655344
Epoch: 21 | Test Accuracy: 0.7120000123977661 | Test Loss (NORMALIZED): 44.34332503604889
Epoch: 22 | Train Accuracy: 0.931382417678833 | Train Loss: 8.812565743923187
Epoch: 22 | Validate Accuracy: 0.7096773982048035 | Validate Loss (NORMALIZED): 59.198665816697385
Epoch: 22 | Test Accuracy: 0.6800000071525574 | Test Loss (NORMALIZED): 69.7364303059578
Epoch: 23 | Train Accuracy: 0.916246235370636 | Train Loss: 9.150045856833458
Epoch: 23 | Validate Accuracy: 0.7419354915618896 | Validate Loss (NORMALIZED): 52.08228306207926
Epoch: 23 | Test Accuracy: 0.7039999961853027 | Test Loss (NORMALIZED): 56.59816612172127
Epoch: 24 | Train Accuracy: 0.9182643890380859 | Train Loss: 8.913728341460228
Epoch: 24 | Validate Accuracy: 0.8145161271095276 | Validate Loss (NORMALIZED): 35.78554139935201
Epoch: 24 | Test Accuracy: 0.7680000066757202 | Test Loss (NORMALIZED): 38.84178798222542
Epoch: 25 | Train Accuracy: 0.9273461103439331 | Train Loss: 9.171715170145035
Epoch: 25 | Validate Accuracy: 0.7983871102333069 | Validate Loss (NORMALIZED): 43.17592177876542
