use one gpu
using features: ['videos']
using fold: 1
train size: 1008, validate size: 112, test size: 120
Epoch: 0 | Train Accuracy: 0.4990079402923584 | Train Loss: 47.65171408653259
Epoch: 0 | Validate Accuracy: 0.5625 | Validate Loss (NORMALIZED): 90.26113557815552
Epoch: 0 | Test Accuracy: 0.5083333253860474 | Test Loss (NORMALIZED): 90.60594692230225
Epoch: 1 | Train Accuracy: 0.5446428656578064 | Train Loss: 45.28389394283295
Epoch: 1 | Validate Accuracy: 0.5357142686843872 | Validate Loss (NORMALIZED): 88.98233985900879
Epoch: 1 | Test Accuracy: 0.5416666865348816 | Test Loss (NORMALIZED): 89.73330194950104
Epoch: 2 | Train Accuracy: 0.5644841194152832 | Train Loss: 44.89305943250656
Epoch: 2 | Validate Accuracy: 0.5535714030265808 | Validate Loss (NORMALIZED): 89.57063895463943
Epoch: 2 | Test Accuracy: 0.5583333373069763 | Test Loss (NORMALIZED): 89.2628389120102
Epoch: 3 | Train Accuracy: 0.5317460298538208 | Train Loss: 45.354466795921326
Epoch: 3 | Validate Accuracy: 0.6160714030265808 | Validate Loss (NORMALIZED): 89.42306542396545
Epoch: 3 | Test Accuracy: 0.6000000238418579 | Test Loss (NORMALIZED): 88.32745685577393
Epoch: 4 | Train Accuracy: 0.5595238208770752 | Train Loss: 44.82617861032486
Epoch: 4 | Validate Accuracy: 0.6160714030265808 | Validate Loss (NORMALIZED): 88.10852605104446
Epoch: 4 | Test Accuracy: 0.5583333373069763 | Test Loss (NORMALIZED): 88.26665089130402
Epoch: 5 | Train Accuracy: 0.5952380895614624 | Train Loss: 43.9122998714447
Epoch: 5 | Validate Accuracy: 0.5535714030265808 | Validate Loss (NORMALIZED): 88.04824930429459
Epoch: 5 | Test Accuracy: 0.550000011920929 | Test Loss (NORMALIZED): 88.55344934463501
Epoch: 6 | Train Accuracy: 0.591269850730896 | Train Loss: 43.9145792722702
Epoch: 6 | Validate Accuracy: 0.5625 | Validate Loss (NORMALIZED): 86.51151841878891
Epoch: 6 | Test Accuracy: 0.5583333373069763 | Test Loss (NORMALIZED): 87.86009652614594
Epoch: 7 | Train Accuracy: 0.60317462682724 | Train Loss: 43.71576988697052
Epoch: 7 | Validate Accuracy: 0.6339285969734192 | Validate Loss (NORMALIZED): 85.79245465993881
Epoch: 7 | Test Accuracy: 0.5916666388511658 | Test Loss (NORMALIZED): 86.36593415737153
Epoch: 8 | Train Accuracy: 0.5932539701461792 | Train Loss: 43.32343578338623
Epoch: 8 | Validate Accuracy: 0.6071428656578064 | Validate Loss (NORMALIZED): 85.5793349146843
Epoch: 8 | Test Accuracy: 0.5666666626930237 | Test Loss (NORMALIZED): 86.23593935966493
Epoch: 9 | Train Accuracy: 0.6230158805847168 | Train Loss: 42.82222992181778
Epoch: 9 | Validate Accuracy: 0.5267857313156128 | Validate Loss (NORMALIZED): 85.442617893219
Epoch: 9 | Test Accuracy: 0.5333333611488342 | Test Loss (NORMALIZED): 87.73893320560455
Epoch: 10 | Train Accuracy: 0.6210317611694336 | Train Loss: 42.012302219867706
Epoch: 10 | Validate Accuracy: 0.5982142686843872 | Validate Loss (NORMALIZED): 85.63305902481079
Epoch: 10 | Test Accuracy: 0.6499999761581421 | Test Loss (NORMALIZED): 85.09587321281434
Epoch: 11 | Train Accuracy: 0.653769850730896 | Train Loss: 40.90069395303726
Epoch: 11 | Validate Accuracy: 0.6428571343421936 | Validate Loss (NORMALIZED): 83.04503202438354
Epoch: 11 | Test Accuracy: 0.6416666507720947 | Test Loss (NORMALIZED): 84.19439563751222
Epoch: 12 | Train Accuracy: 0.6438491940498352 | Train Loss: 41.4318864941597
Epoch: 12 | Validate Accuracy: 0.5714285969734192 | Validate Loss (NORMALIZED): 87.00384271144867
Epoch: 12 | Test Accuracy: 0.550000011920929 | Test Loss (NORMALIZED): 91.14702172279358
Epoch: 13 | Train Accuracy: 0.6507936716079712 | Train Loss: 40.71484240889549
Epoch: 13 | Validate Accuracy: 0.6517857313156128 | Validate Loss (NORMALIZED): 82.3486887216568
Epoch: 13 | Test Accuracy: 0.625 | Test Loss (NORMALIZED): 86.9131442785263
Epoch: 14 | Train Accuracy: 0.66567462682724 | Train Loss: 39.89355254173279
Epoch: 14 | Validate Accuracy: 0.625 | Validate Loss (NORMALIZED): 82.15845519304276
Epoch: 14 | Test Accuracy: 0.6000000238418579 | Test Loss (NORMALIZED): 86.38994672298432
Epoch: 15 | Train Accuracy: 0.6835317611694336 | Train Loss: 39.59686475992203
Epoch: 15 | Validate Accuracy: 0.6607142686843872 | Validate Loss (NORMALIZED): 83.83383482694626
Epoch: 15 | Test Accuracy: 0.550000011920929 | Test Loss (NORMALIZED): 92.09587705135345
Epoch: 16 | Train Accuracy: 0.66567462682724 | Train Loss: 39.54749494791031
Epoch: 16 | Validate Accuracy: 0.6339285969734192 | Validate Loss (NORMALIZED): 81.92356422543526
Epoch: 16 | Test Accuracy: 0.5916666388511658 | Test Loss (NORMALIZED): 86.93235833644867
Epoch: 17 | Train Accuracy: 0.7073412537574768 | Train Loss: 37.98099625110626
Epoch: 17 | Validate Accuracy: 0.6428571343421936 | Validate Loss (NORMALIZED): 77.59342423081398
Epoch: 17 | Test Accuracy: 0.6000000238418579 | Test Loss (NORMALIZED): 89.86853184700013
Epoch: 18 | Train Accuracy: 0.6974206566810608 | Train Loss: 38.16871678829193
