use one gpu
using features: ['aus']
using fold: 1
train size: 1008, validate size: 112, test size: 120
Epoch: 0 | Train Accuracy: 0.6051587462425232 | Train Loss: 44.071726977825165
Epoch: 0 | Validate Accuracy: 0.625 | Validate Loss (NORMALIZED): 87.20054465532303
Epoch: 0 | Test Accuracy: 0.5583333373069763 | Test Loss (NORMALIZED): 90.09637534618378
Epoch: 1 | Train Accuracy: 0.6884920597076416 | Train Loss: 39.593825817108154
Epoch: 1 | Validate Accuracy: 0.6696428656578064 | Validate Loss (NORMALIZED): 77.9443607032299
Epoch: 1 | Test Accuracy: 0.675000011920929 | Test Loss (NORMALIZED): 81.58779383897782
Epoch: 2 | Train Accuracy: 0.7271825671195984 | Train Loss: 36.11021590232849
Epoch: 2 | Validate Accuracy: 0.7142857313156128 | Validate Loss (NORMALIZED): 72.72002452611923
Epoch: 2 | Test Accuracy: 0.7250000238418579 | Test Loss (NORMALIZED): 79.4482319355011
Epoch: 3 | Train Accuracy: 0.7351190447807312 | Train Loss: 34.46279701590538
Epoch: 3 | Validate Accuracy: 0.7767857313156128 | Validate Loss (NORMALIZED): 68.08906982839108
Epoch: 3 | Test Accuracy: 0.7333333492279053 | Test Loss (NORMALIZED): 73.36378076076508
Epoch: 4 | Train Accuracy: 0.7579365372657776 | Train Loss: 34.69922113418579
Epoch: 4 | Validate Accuracy: 0.7767857313156128 | Validate Loss (NORMALIZED): 66.23647463321686
Epoch: 4 | Test Accuracy: 0.7166666388511658 | Test Loss (NORMALIZED): 69.7883558034897
Epoch: 5 | Train Accuracy: 0.7976190447807312 | Train Loss: 30.64006581902504
Epoch: 5 | Validate Accuracy: 0.75 | Validate Loss (NORMALIZED): 67.20681819319725
Epoch: 5 | Test Accuracy: 0.7333333492279053 | Test Loss (NORMALIZED): 70.80945736169815
Epoch: 6 | Train Accuracy: 0.7896825671195984 | Train Loss: 30.589677438139915
Epoch: 6 | Validate Accuracy: 0.6875 | Validate Loss (NORMALIZED): 92.12232282757759
