use one gpu
using features: ['si']
using fold: 3
train size: 1008, validate size: 112, test size: 120
Epoch: 0 | Train Accuracy: 0.5396825671195984 | Train Loss: 44.79478579759598
Epoch: 0 | Validate Accuracy: 0.6071428656578064 | Validate Loss (NORMALIZED): 86.13579028844833
Epoch: 0 | Test Accuracy: 0.5666666626930237 | Test Loss (NORMALIZED): 87.33416876792909
Epoch: 1 | Train Accuracy: 0.6517857313156128 | Train Loss: 41.27325862646103
Epoch: 1 | Validate Accuracy: 0.7053571343421936 | Validate Loss (NORMALIZED): 79.81963276863098
Epoch: 1 | Test Accuracy: 0.6000000238418579 | Test Loss (NORMALIZED): 84.5806009054184
Epoch: 2 | Train Accuracy: 0.6607142686843872 | Train Loss: 40.40956574678421
Epoch: 2 | Validate Accuracy: 0.7142857313156128 | Validate Loss (NORMALIZED): 78.04901379346848
Epoch: 2 | Test Accuracy: 0.625 | Test Loss (NORMALIZED): 84.86707592010498
Epoch: 3 | Train Accuracy: 0.6646825671195984 | Train Loss: 39.847765386104584
Epoch: 3 | Validate Accuracy: 0.7142857313156128 | Validate Loss (NORMALIZED): 77.81705769896507
Epoch: 3 | Test Accuracy: 0.625 | Test Loss (NORMALIZED): 84.51604735851288
Epoch: 4 | Train Accuracy: 0.6527777910232544 | Train Loss: 39.958636462688446
Epoch: 4 | Validate Accuracy: 0.6875 | Validate Loss (NORMALIZED): 77.52159279584885
Epoch: 4 | Test Accuracy: 0.6083333492279053 | Test Loss (NORMALIZED): 86.56497359275818
Epoch: 5 | Train Accuracy: 0.6845238208770752 | Train Loss: 39.28078153729439
Epoch: 5 | Validate Accuracy: 0.7053571343421936 | Validate Loss (NORMALIZED): 76.83520075678825
Epoch: 5 | Test Accuracy: 0.6333333253860474 | Test Loss (NORMALIZED): 86.58887000083924
Epoch: 6 | Train Accuracy: 0.6597222089767456 | Train Loss: 39.29890325665474
Epoch: 6 | Validate Accuracy: 0.7321428656578064 | Validate Loss (NORMALIZED): 76.8474023938179
Epoch: 6 | Test Accuracy: 0.6083333492279053 | Test Loss (NORMALIZED): 86.04073963165284
Epoch: 7 | Train Accuracy: 0.6567460298538208 | Train Loss: 39.253722190856934
Epoch: 7 | Validate Accuracy: 0.7142857313156128 | Validate Loss (NORMALIZED): 76.74132478237152
Epoch: 7 | Test Accuracy: 0.6166666746139526 | Test Loss (NORMALIZED): 86.81885490417481
Epoch: 8 | Train Accuracy: 0.663690447807312 | Train Loss: 39.14446973800659
Epoch: 8 | Validate Accuracy: 0.7053571343421936 | Validate Loss (NORMALIZED): 75.70827010273933
Epoch: 8 | Test Accuracy: 0.6166666746139526 | Test Loss (NORMALIZED): 86.15673719644546
Epoch: 9 | Train Accuracy: 0.6517857313156128 | Train Loss: 39.541563808918
Epoch: 9 | Validate Accuracy: 0.7321428656578064 | Validate Loss (NORMALIZED): 75.6349438726902
Epoch: 9 | Test Accuracy: 0.625 | Test Loss (NORMALIZED): 87.51876611709595
Epoch: 10 | Train Accuracy: 0.6736111044883728 | Train Loss: 39.31636929512024
Epoch: 10 | Validate Accuracy: 0.7053571343421936 | Validate Loss (NORMALIZED): 75.50197926163673
Epoch: 10 | Test Accuracy: 0.6166666746139526 | Test Loss (NORMALIZED): 88.85450187921525
Epoch: 11 | Train Accuracy: 0.653769850730896 | Train Loss: 39.63050401210785
Epoch: 11 | Validate Accuracy: 0.7142857313156128 | Validate Loss (NORMALIZED): 75.46731090545654
Epoch: 11 | Test Accuracy: 0.6083333492279053 | Test Loss (NORMALIZED): 86.52164933681489
Epoch: 12 | Train Accuracy: 0.663690447807312 | Train Loss: 38.806060671806335
Epoch: 12 | Validate Accuracy: 0.7232142686843872 | Validate Loss (NORMALIZED): 74.4797776043415
Epoch: 12 | Test Accuracy: 0.625 | Test Loss (NORMALIZED): 87.01836247444153
Epoch: 13 | Train Accuracy: 0.6696428656578064 | Train Loss: 38.9145003259182
Epoch: 13 | Validate Accuracy: 0.6964285969734192 | Validate Loss (NORMALIZED): 72.97585389018059
Epoch: 13 | Test Accuracy: 0.625 | Test Loss (NORMALIZED): 87.81033003330231
Epoch: 14 | Train Accuracy: 0.670634925365448 | Train Loss: 37.60993608832359
Epoch: 14 | Validate Accuracy: 0.7142857313156128 | Validate Loss (NORMALIZED): 70.38325667381287
Epoch: 14 | Test Accuracy: 0.6416666507720947 | Test Loss (NORMALIZED): 81.2298696756363
Epoch: 15 | Train Accuracy: 0.7103174328804016 | Train Loss: 35.82165503501892
Epoch: 15 | Validate Accuracy: 0.7857142686843872 | Validate Loss (NORMALIZED): 69.27001065015793
Epoch: 15 | Test Accuracy: 0.7166666388511658 | Test Loss (NORMALIZED): 76.17609629631043
Epoch: 16 | Train Accuracy: 0.7311508059501648 | Train Loss: 34.408776968717575
Epoch: 16 | Validate Accuracy: 0.75 | Validate Loss (NORMALIZED): 61.119966208934784
Epoch: 16 | Test Accuracy: 0.5833333134651184 | Test Loss (NORMALIZED): 88.03746331930161
Epoch: 17 | Train Accuracy: 0.7410714030265808 | Train Loss: 33.38269427418709
Epoch: 17 | Validate Accuracy: 0.7678571343421936 | Validate Loss (NORMALIZED): 60.525800451636314
Epoch: 17 | Test Accuracy: 0.5916666388511658 | Test Loss (NORMALIZED): 93.5320375084877
Epoch: 18 | Train Accuracy: 0.7509920597076416 | Train Loss: 32.20226240158081
Epoch: 18 | Validate Accuracy: 0.7678571343421936 | Validate Loss (NORMALIZED): 58.838628351688385
Epoch: 18 | Test Accuracy: 0.625 | Test Loss (NORMALIZED): 77.10265401005745
Epoch: 19 | Train Accuracy: 0.7390872836112976 | Train Loss: 33.3913793861866
Epoch: 19 | Validate Accuracy: 0.8125 | Validate Loss (NORMALIZED): 55.95713737607002
