use one gpu
using features: ['d1da27']
using fold: 1
train size: 1008, validate size: 112, test size: 120
Epoch: 0 | Train Accuracy: 0.5734127163887024 | Train Loss: 44.86355221271515
Epoch: 0 | Validate Accuracy: 0.6785714030265808 | Validate Loss (NORMALIZED): 86.09133052825928
Epoch: 0 | Test Accuracy: 0.574999988079071 | Test Loss (NORMALIZED): 90.6461935043335
Epoch: 1 | Train Accuracy: 0.6398809552192688 | Train Loss: 42.04363405704498
Epoch: 1 | Validate Accuracy: 0.6160714030265808 | Validate Loss (NORMALIZED): 82.50571650266647
Epoch: 1 | Test Accuracy: 0.6000000238418579 | Test Loss (NORMALIZED): 89.75583400726319
Epoch: 2 | Train Accuracy: 0.6904761791229248 | Train Loss: 39.2859465777874
Epoch: 2 | Validate Accuracy: 0.625 | Validate Loss (NORMALIZED): 83.00823587179184
Epoch: 2 | Test Accuracy: 0.5583333373069763 | Test Loss (NORMALIZED): 93.17415039539337
Epoch: 3 | Train Accuracy: 0.738095223903656 | Train Loss: 35.595805794000626
Epoch: 3 | Validate Accuracy: 0.6517857313156128 | Validate Loss (NORMALIZED): 88.77449816465378
Epoch: 3 | Test Accuracy: 0.550000011920929 | Test Loss (NORMALIZED): 101.82181853055954
Epoch: 4 | Train Accuracy: 0.7460317611694336 | Train Loss: 36.37937071919441
Epoch: 4 | Validate Accuracy: 0.5089285969734192 | Validate Loss (NORMALIZED): 136.72399199008942
Epoch: 4 | Test Accuracy: 0.5416666865348816 | Test Loss (NORMALIZED): 118.91178953647614
Epoch: 5 | Train Accuracy: 0.6914682388305664 | Train Loss: 39.19783839583397
Epoch: 5 | Validate Accuracy: 0.6071428656578064 | Validate Loss (NORMALIZED): 83.43247523903847
Epoch: 5 | Test Accuracy: 0.574999988079071 | Test Loss (NORMALIZED): 90.51652089357377
Epoch: 6 | Train Accuracy: 0.6875 | Train Loss: 38.84950643777847
Epoch: 6 | Validate Accuracy: 0.625 | Validate Loss (NORMALIZED): 102.47114109992981
Epoch: 6 | Test Accuracy: 0.6583333611488342 | Test Loss (NORMALIZED): 93.08178362846375
Epoch: 7 | Train Accuracy: 0.7361111044883728 | Train Loss: 36.02874284982681
Epoch: 7 | Validate Accuracy: 0.7232142686843872 | Validate Loss (NORMALIZED): 68.37317007780075
Epoch: 7 | Test Accuracy: 0.699999988079071 | Test Loss (NORMALIZED): 75.25008945465088
Epoch: 8 | Train Accuracy: 0.7827380895614624 | Train Loss: 32.31407740712166
Epoch: 8 | Validate Accuracy: 0.7589285969734192 | Validate Loss (NORMALIZED): 72.60259312391281
Epoch: 8 | Test Accuracy: 0.6416666507720947 | Test Loss (NORMALIZED): 88.39863463640214
Epoch: 9 | Train Accuracy: 0.7896825671195984 | Train Loss: 30.833978444337845
Epoch: 9 | Validate Accuracy: 0.5267857313156128 | Validate Loss (NORMALIZED): 197.5493980050087
Epoch: 9 | Test Accuracy: 0.4583333432674408 | Test Loss (NORMALIZED): 266.6396181106567
Epoch: 10 | Train Accuracy: 0.7767857313156128 | Train Loss: 31.62062519788742
Epoch: 10 | Validate Accuracy: 0.6964285969734192 | Validate Loss (NORMALIZED): 81.07805228233337
Epoch: 10 | Test Accuracy: 0.5666666626930237 | Test Loss (NORMALIZED): 100.12503737211227
Epoch: 11 | Train Accuracy: 0.8085317611694336 | Train Loss: 29.69598549604416
Epoch: 11 | Validate Accuracy: 0.4910714328289032 | Validate Loss (NORMALIZED): 259.30312943458557
Epoch: 11 | Test Accuracy: 0.4583333432674408 | Test Loss (NORMALIZED): 315.13326172828675
Epoch: 12 | Train Accuracy: 0.8015872836112976 | Train Loss: 29.351736217737198
Epoch: 12 | Validate Accuracy: 0.7232142686843872 | Validate Loss (NORMALIZED): 77.57527787983418
Epoch: 12 | Test Accuracy: 0.75 | Test Loss (NORMALIZED): 66.52972197532654
Epoch: 13 | Train Accuracy: 0.8144841194152832 | Train Loss: 27.717819914221764
Epoch: 13 | Validate Accuracy: 0.7589285969734192 | Validate Loss (NORMALIZED): 75.90080121159554
Epoch: 13 | Test Accuracy: 0.5666666626930237 | Test Loss (NORMALIZED): 90.41144063472748
Epoch: 14 | Train Accuracy: 0.8234127163887024 | Train Loss: 27.363672867417336
Epoch: 14 | Validate Accuracy: 0.5625 | Validate Loss (NORMALIZED): 208.2039733529091
Epoch: 14 | Test Accuracy: 0.4583333432674408 | Test Loss (NORMALIZED): 274.7204302310944
Epoch: 15 | Train Accuracy: 0.8194444179534912 | Train Loss: 27.837519481778145
Epoch: 15 | Validate Accuracy: 0.75 | Validate Loss (NORMALIZED): 71.57503616809845
Epoch: 15 | Test Accuracy: 0.6916666626930237 | Test Loss (NORMALIZED): 77.18624174594879
Epoch: 16 | Train Accuracy: 0.846230149269104 | Train Loss: 24.878598630428314
Epoch: 16 | Validate Accuracy: 0.5267857313156128 | Validate Loss (NORMALIZED): 143.6622326374054
Epoch: 16 | Test Accuracy: 0.6166666746139526 | Test Loss (NORMALIZED): 114.78879697322846
Epoch: 17 | Train Accuracy: 0.8432539701461792 | Train Loss: 25.954881355166435
Epoch: 17 | Validate Accuracy: 0.7321428656578064 | Validate Loss (NORMALIZED): 70.00891846418381
Epoch: 17 | Test Accuracy: 0.7333333492279053 | Test Loss (NORMALIZED): 70.50991600155831
Epoch: 18 | Train Accuracy: 0.8373016119003296 | Train Loss: 24.939407736063004
Epoch: 18 | Validate Accuracy: 0.7053571343421936 | Validate Loss (NORMALIZED): 95.69818487763405
Epoch: 18 | Test Accuracy: 0.5916666388511658 | Test Loss (NORMALIZED): 127.85502301454545
Epoch: 19 | Train Accuracy: 0.8452380895614624 | Train Loss: 24.504160672426224
Epoch: 19 | Validate Accuracy: 0.6964285969734192 | Validate Loss (NORMALIZED): 88.16836801171303
Epoch: 19 | Test Accuracy: 0.7250000238418579 | Test Loss (NORMALIZED): 73.8569135427475
Epoch: 20 | Train Accuracy: 0.870039701461792 | Train Loss: 22.88679127395153
Epoch: 20 | Validate Accuracy: 0.7589285969734192 | Validate Loss (NORMALIZED): 67.17699672281742
Epoch: 20 | Test Accuracy: 0.7333333492279053 | Test Loss (NORMALIZED): 76.39867140054703
Epoch: 21 | Train Accuracy: 0.8611111044883728 | Train Loss: 22.67931218445301
